행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
강원도 강릉시 (4215000000),00~07,"12,443","12,124","11,682","11,142","10,665","10,084",37.751878,128.876113
강원도 강릉시 (4215000000),08~13,"11,572","11,124","10,784","10,466","10,524","10,521",37.751878,128.876113
강원도 강릉시 (4215000000),14~16,"7,859","7,382","6,601","6,195","5,818","5,542",37.751878,128.876113
강원도 강릉시 (4215000000),17~19,"8,676","8,382","8,227","7,784","7,447","6,589",37.751878,128.876113
강원도 강릉시 (4215000000),20~24,"14,777","14,573","14,419","14,106","14,042","13,484",37.751878,128.876113
강원도 고성군 (4282000000),00~07,"1,185","1,128","1,129","1,066","1,033",962,38.380579,128.467763
강원도 고성군 (4282000000),08~13,"1,097","1,010",976,928,910,881,38.380579,128.467763
강원도 고성군 (4282000000),14~16,780,708,633,558,505,483,38.380579,128.467763
강원도 고성군 (4282000000),17~19,933,872,872,804,708,585,38.380579,128.467763
강원도 고성군 (4282000000),20~24,"2,755","2,525","2,240","1,947","1,577","1,450",38.380579,128.467763
강원도 동해시 (4217000000),00~07,"6,429","6,253","6,009","5,754","5,250","4,953",37.524675,129.114302
강원도 동해시 (4217000000),08~13,"5,466","5,335","5,201","5,007","5,025","5,135",37.524675,129.114302
강원도 동해시 (4217000000),14~16,"3,560","3,299","3,008","2,796","2,651","2,560",37.524675,129.114302
강원도 동해시 (4217000000),17~19,"3,735","3,642","3,465","3,329","3,116","2,895",37.524675,129.114302
강원도 동해시 (4217000000),20~24,"5,716","5,683","5,794","5,451","5,221","5,153",37.524675,129.114302
강원도 삼척시 (4223000000),00~07,"3,755","3,621","3,417","3,379","3,213","2,915",37.449849,129.165204
강원도 삼척시 (4223000000),08~13,"3,191","3,040","2,930","2,894","2,851","2,842",37.449849,129.165204
강원도 삼척시 (4223000000),14~16,"2,136","1,979","1,773","1,641","1,525","1,393",37.449849,129.165204
강원도 삼척시 (4223000000),17~19,"3,058","2,916","2,889","2,636","2,316","1,961",37.449849,129.165204
강원도 삼척시 (4223000000),20~24,"5,944","5,821","5,582","5,443","5,168","4,556",37.449849,129.165204
강원도 속초시 (4221000000),00~07,"5,255","5,164","4,929","4,746","4,588","4,470",38.206967,128.591862
강원도 속초시 (4221000000),08~13,"4,651","4,392","4,195","4,049","4,053","4,204",38.206967,128.591862
강원도 속초시 (4221000000),14~16,"3,233","3,014","2,682","2,513","2,304","2,155",38.206967,128.591862
강원도 속초시 (4221000000),17~19,"3,327","3,204","3,197","3,054","2,850","2,564",38.206967,128.591862
강원도 속초시 (4221000000),20~24,"5,093","5,107","4,987","4,930","4,765","4,700",38.206967,128.591862
강원도 양구군 (4280000000),00~07,"1,686","1,640","1,625","1,581","1,526","1,361",38.109889,127.990059
강원도 양구군 (4280000000),08~13,"1,249","1,175","1,137","1,103","1,096","1,056",38.109889,127.990059
강원도 양구군 (4280000000),14~16,881,843,721,706,646,653,38.109889,127.990059
강원도 양구군 (4280000000),17~19,974,947,959,889,871,758,38.109889,127.990059
강원도 양구군 (4280000000),20~24,"2,222","2,126","1,946","1,746","1,517","1,445",38.109889,127.990059
강원도 양양군 (4283000000),00~07,"1,213","1,162","1,117","1,048","1,037","1,022",38.075451,128.618913
강원도 양양군 (4283000000),08~13,"1,146","1,068","1,037","1,010","1,004","1,016",38.075451,128.618913
강원도 양양군 (4283000000),14~16,825,736,638,592,566,533,38.075451,128.618913
강원도 양양군 (4283000000),17~19,797,804,813,808,738,648,38.075451,128.618913
