행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
경기도 가평군 (4182000000),00~07,"3,308","3,269","3,183","3,004","2,780","2,524",37.831314,127.509576,,
경기도 가평군 (4182000000),08~13,"2,786","2,750","2,701","2,634","2,613","2,595",37.831314,127.509576,,
경기도 가평군 (4182000000),14~16,"1,878","1,768","1,576","1,414","1,366","1,342",37.831314,127.509576,,
경기도 가평군 (4182000000),17~19,"2,208","2,110","2,074","2,080","1,929","1,644",37.831314,127.509576,,
경기도 가평군 (4182000000),20~24,"3,420","3,371","3,324","3,251","3,142","3,114",37.831314,127.509576,,
경기도 고양시 (4128000000),00~07,"73,352","72,027","69,971","66,884","65,151","62,143",37.68074553,126.8181263,,
경기도 고양시 (4128000000),08~13,"62,128","61,200","59,549","58,344","59,236","60,393",37.68074553,126.8181263,,
경기도 고양시 (4128000000),14~16,"41,040","38,437","35,115","33,032","31,479","30,254",37.68074553,126.8181263,,
경기도 고양시 (4128000000),17~19,"44,480","42,917","42,457","40,547","38,334","35,125",37.68074553,126.8181263,,
경기도 고양시 (4128000000),20~24,"77,568","78,145","76,583","74,789","73,448","72,954",37.68074553,126.8181263,,
경기도 고양시 덕양구 (4128100000),00~07,"33,340","32,829","31,933","30,938","30,287","29,538",37.637449,126.832297,,
경기도 고양시 덕양구 (4128100000),08~13,"24,599","24,381","23,816","23,643","24,459","25,395",37.637449,126.832297,,
경기도 고양시 덕양구 (4128100000),14~16,"15,346","14,357","13,322","12,545","12,057","11,530",37.637449,126.832297,,
경기도 고양시 덕양구 (4128100000),17~19,"17,073","16,294","15,957","15,377","14,666","13,659",37.637449,126.832297,,
경기도 고양시 덕양구 (4128100000),20~24,"31,527","31,672","30,976","29,979","29,782","29,531",37.637449,126.832297,,
경기도 고양시 일산동구 (4128500000),00~07,"18,441","18,351","17,888","17,318","16,501","15,605",37.658989,126.774729,,
경기도 고양시 일산동구 (4128500000),08~13,"17,153","16,924","16,485","16,219","16,139","16,290",37.658989,126.774729,,
경기도 고양시 일산동구 (4128500000),14~16,"11,820","11,125","10,100","9,490","8,920","8,687",37.658989,126.774729,,
경기도 고양시 일산동구 (4128500000),17~19,"12,860","12,523","12,452","11,958","11,062","10,097",37.658989,126.774729,,
경기도 고양시 일산동구 (4128500000),20~24,"22,703","23,047","22,641","22,400","21,558","21,446",37.658989,126.774729,,
경기도 고양시 일산서구 (4128700000),00~07,"21,571","20,847","20,150","18,628","18,363","17,000",37.680067,126.726744,,
경기도 고양시 일산서구 (4128700000),08~13,"20,376","19,895","19,248","18,482","18,638","18,708",37.680067,126.726744,,
경기도 고양시 일산서구 (4128700000),14~16,"13,874","12,955","11,693","10,997","10,502","10,037",37.680067,126.726744,,
경기도 고양시 일산서구 (4128700000),17~19,"14,547","14,100","14,048","13,212","12,606","11,369",37.680067,126.726744,,
경기도 고양시 일산서구 (4128700000),20~24,"23,338","23,426","22,966","22,410","22,108","21,977",37.680067,126.726744,,
경기도 과천시 (4129000000),00~07,"4,326","3,960","3,369","3,403","3,431","3,809",37.42575483,126.9894314,,
경기도 과천시 (4129000000),08~13,"4,311","4,005","3,537","3,385","3,324","3,538",37.42575483,126.9894314,,
경기도 과천시 (4129000000),14~16,"2,824","2,557","2,161","2,036","1,866","1,829",37.42575483,126.9894314,,
경기도 과천시 (4129000000),17~19,"3,188","2,911","2,516","2,350","2,213","2,106",37.42575483,126.9894314,,
경기도 과천시 (4129000000),20~24,"5,213","4,849","4,219","4,216","4,075","4,263",37.42575483,126.9894314,,
