행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경상남도 거제시 (4831000000),00~07,"27,230","27,297","26,479","24,783","22,566","20,377",34.880714,128.621127
경상남도 거제시 (4831000000),08~13,"16,608","16,762","16,929","17,294","18,080","18,643",34.880714,128.621127
경상남도 거제시 (4831000000),14~16,"10,006","9,534","8,705","8,194","7,766","7,664",34.880714,128.621127
경상남도 거제시 (4831000000),17~19,"9,803","9,739","9,906","9,680","9,108","8,352",34.880714,128.621127
경상남도 거제시 (4831000000),20~24,"14,267","14,465","14,137","13,980","13,676","13,273",34.880714,128.621127
경상남도 거창군 (4888000000),00~07,"3,564","3,547","3,373","3,276","3,035","2,733",35.6866,127.90956
경상남도 거창군 (4888000000),08~13,"3,138","3,097","3,117","3,082","3,105","3,154",35.6866,127.90956
경상남도 거창군 (4888000000),14~16,"2,256","2,112","1,826","1,736","1,634","1,612",35.6866,127.90956
경상남도 거창군 (4888000000),17~19,"2,467","2,450","2,369","2,252","2,217","1,919",35.6866,127.90956
경상남도 거창군 (4888000000),20~24,"3,674","3,693","3,694","3,579","3,701","3,505",35.6866,127.90956
경상남도 고성군 (4882000000),00~07,"3,059","2,905","2,721","2,418","2,143","1,880",34.972975,128.322255
경상남도 고성군 (4882000000),08~13,"2,264","2,263","2,265","2,285","2,312","2,297",34.972975,128.322255
경상남도 고성군 (4882000000),14~16,"1,525","1,400","1,311","1,171","1,287","1,190",34.972975,128.322255
경상남도 고성군 (4882000000),17~19,"1,759","1,622","1,576","1,521","1,417","1,367",34.972975,128.322255
경상남도 고성군 (4882000000),20~24,"2,684","2,677","2,557","2,492","2,324","2,188",34.972975,128.322255
경상남도 김해시 (4825000000),00~07,"46,254","44,537","43,164","41,133","40,142","37,338",35.228544,128.889385
경상남도 김해시 (4825000000),08~13,"37,001","36,450","35,963","35,691","36,332","36,875",35.228544,128.889385
경상남도 김해시 (4825000000),14~16,"23,158","21,640","19,871","18,545","17,920","17,458",35.228544,128.889385
경상남도 김해시 (4825000000),17~19,"24,142","23,510","23,313","22,794","21,451","19,680",35.228544,128.889385
경상남도 김해시 (4825000000),20~24,"37,083","37,779","37,889","37,697","37,019","36,308",35.228544,128.889385
경상남도 남해군 (4884000000),00~07,"1,637","1,518","1,459","1,315","1,234","1,133",34.837659,127.892595
경상남도 남해군 (4884000000),08~13,"1,624","1,563","1,518","1,475","1,477","1,491",34.837659,127.892595
경상남도 남해군 (4884000000),14~16,"1,218","1,105",957,911,907,859,34.837659,127.892595
경상남도 남해군 (4884000000),17~19,"1,439","1,368","1,316","1,187","1,268","1,026",34.837659,127.892595
경상남도 남해군 (4884000000),20~24,"2,177","2,127","2,115","2,036","2,002","1,890",34.837659,127.892595
경상남도 밀양시 (4827000000),00~07,"5,271","5,267","5,210","4,895","4,564","4,277",35.503788,128.746595
경상남도 밀양시 (4827000000),08~13,"4,596","4,571","4,502","4,441","4,418","4,409",35.503788,128.746595
경상남도 밀양시 (4827000000),14~16,"3,281","2,996","2,663","2,403","2,270","2,241",35.503788,128.746595
경상남도 밀양시 (4827000000),17~19,"3,611","3,480","3,405","3,218","2,923","2,629",35.503788,128.746595
경상남도 밀양시 (4827000000),20~24,"5,917","5,970","5,803","5,495","5,150","4,872",35.503788,128.746595
경상남도 사천시 (4824000000),00~07,"8,879","8,417","8,035","7,510","6,677","6,173",35.003763,128.064207
경상남도 사천시 (4824000000),08~13,"6,285","6,255","6,273","6,355","6,389","6,432",35.003763,128.064207
경상남도 사천시 (4824000000),14~16,"3,822","3,617","3,286","3,036","2,858","2,837",35.003763,128.064207
경상남도 사천시 (4824000000),17~19,"4,007","3,886","3,790","3,711","3,477","3,164",35.003763,128.064207
경상남도 사천시 (4824000000),20~24,"6,289","6,284","6,218","6,167","5,808","5,532",35.003763,128.064207
경상남도 산청군 (4886000000),00~07,"1,557","1,490","1,453","1,318","1,176","1,032",35.415585,127.873479
경상남도 산청군 (4886000000),08~13,"1,253","1,198","1,168","1,219","1,180","1,124",35.415585,127.873479
경상남도 산청군 (4886000000),14~16,859,804,710,645,623,614,35.415585,127.873479
경상남도 산청군 (4886000000),17~19,"1,005",966,941,859,781,690,35.415585,127.873479
경상남도 산청군 (4886000000),20~24,"1,507","1,547","1,566","1,578","1,450","1,366",35.415585,127.873479
경상남도 양산시 (4833000000),00~07,"26,268","27,123","29,758","30,229","28,737","26,891",35.334991,129.037066
경상남도 양산시 (4833000000),08~13,"18,229","18,750","19,756","20,438","21,327","22,254",35.334991,129.037066
경상남도 양산시 (4833000000),14~16,"11,003","10,681","10,155","9,800","9,502","9,630",35.334991,129.037066
경상남도 양산시 (4833000000),17~19,"11,913","11,746","11,961","12,090","11,456","10,499",35.334991,129.037066
경상남도 양산시 (4833000000),20~24,"19,454","20,434","21,155","21,093","20,568","19,918",35.334991,129.037066
경상남도 의령군 (4872000000),00~07,"1,248","1,150","1,075","1,006",913,828,35.322173,128.261743
경상남도 의령군 (4872000000),08~13,960,904,891,833,829,825,35.322173,128.261743
경상남도 의령군 (4872000000),14~16,662,633,546,523,464,455,35.322173,128.261743
경상남도 의령군 (4872000000),17~19,762,716,688,684,631,543,35.322173,128.261743
경상남도 의령군 (4872000000),20~24,"1,262","1,248","1,203","1,189","1,113","1,073",35.322173,128.261743
경상남도 진주시 (4817000000),00~07,"24,671","24,786","24,334","23,523","22,798","21,442",35.180119,128.107562
경상남도 진주시 (4817000000),08~13,"20,648","20,566","20,269","20,013","20,648","21,010",35.180119,128.107562
경상남도 진주시 (4817000000),14~16,"13,379","12,621","11,613","10,961","10,335","10,078",35.180119,128.107562
경상남도 진주시 (4817000000),17~19,"15,032","14,381","13,872","13,175","12,397","11,399",35.180119,128.107562
경상남도 진주시 (4817000000),20~24,"24,439","24,960","25,015","24,569","23,915","23,415",35.180119,128.107562
경상남도 창녕군 (4874000000),00~07,"3,054","3,075","3,065","2,956","2,803","2,504",35.544563,128.492219
경상남도 창녕군 (4874000000),08~13,"2,359","2,292","2,247","2,251","2,336","2,353",35.544563,128.492219
경상남도 창녕군 (4874000000),14~16,"1,839","1,730","1,539","1,331","1,189","1,213",35.544563,128.492219
경상남도 창녕군 (4874000000),17~19,"2,095","2,022","1,977","1,826","1,610","1,390",35.544563,128.492219
경상남도 창녕군 (4874000000),20~24,"3,202","3,289","3,176","2,971","2,782","2,553",35.544563,128.492219
경상남도 창원시 (4812000000),00~07,"79,116","77,434","75,114","72,656","68,336","63,410",35.227917,128.681784
경상남도 창원시 (4812000000),08~13,"60,341","59,355","58,411","58,076","58,957","60,262",35.227917,128.681784
경상남도 창원시 (4812000000),14~16,"40,460","37,226","33,273","31,126","29,450","28,374",35.227917,128.681784
경상남도 창원시 (4812000000),17~19,"45,143","42,668","41,254","39,176","35,887","32,303",35.227917,128.681784
경상남도 창원시 (4812000000),20~24,"77,304","77,096","74,419","71,833","68,072","64,976",35.227917,128.681784
경상남도 창원시 마산합포구 (4812500000),00~07,"11,313","11,449","11,481","11,217","10,494","9,414",35.196916,128.567864
경상남도 창원시 마산합포구 (4812500000),08~13,"8,099","8,032","8,084","8,091","8,358","8,595",35.196916,128.567864
경상남도 창원시 마산합포구 (4812500000),14~16,"5,511","5,063","4,536","4,293","3,981","3,833",35.196916,128.567864
경상남도 창원시 마산합포구 (4812500000),17~19,"6,512","6,145","5,961","5,507","5,049","4,429",35.196916,128.567864
경상남도 창원시 마산합포구 (4812500000),20~24,"11,660","11,715","11,351","11,002","10,356","9,698",35.196916,128.567864
경상남도 창원시 마산회원구 (4812700000),00~07,"14,012","13,989","12,980","11,980","10,811","9,983",35.22071,128.579686
경상남도 창원시 마산회원구 (4812700000),08~13,"11,757","11,697","11,236","10,897","10,699","10,640",35.22071,128.579686
경상남도 창원시 마산회원구 (4812700000),14~16,"7,594","7,041","6,355","5,932","5,617","5,368",35.22071,128.579686
경상남도 창원시 마산회원구 (4812700000),17~19,"8,500","8,117","7,620","7,235","6,578","5,940",35.22071,128.579686
경상남도 창원시 마산회원구 (4812700000),20~24,"14,639","14,609","13,929","13,120","12,261","11,522",35.22071,128.579686
경상남도 창원시 성산구 (4812300000),00~07,"17,502","16,494","15,595","15,056","13,971","12,595",35.19844,128.702736
경상남도 창원시 성산구 (4812300000),08~13,"14,785","14,191","13,614","13,189","12,920","12,834",35.19844,128.702736
경상남도 창원시 성산구 (4812300000),14~16,"10,880","9,859","8,681","7,848","7,215","6,688",35.19844,128.702736
경상남도 창원시 성산구 (4812300000),17~19,"12,119","11,278","10,865","10,206","9,097","8,002",35.19844,128.702736
경상남도 창원시 성산구 (4812300000),20~24,"20,137","19,876","19,123","18,451","17,208","15,859",35.19844,128.702736
경상남도 창원시 의창구 (4812100000),00~07,"18,235","17,427","17,232","17,065","16,852","16,708",35.253712,128.640284
경상남도 창원시 의창구 (4812100000),08~13,"13,162","12,653","12,562","12,748","13,398","14,332",35.253712,128.640284
경상남도 창원시 의창구 (4812100000),14~16,"9,679","8,708","7,516","6,964","6,637","6,541",35.253712,128.640284
경상남도 창원시 의창구 (4812100000),17~19,"11,795","10,747","10,243","9,530","8,769","7,920",35.253712,128.640284
경상남도 창원시 의창구 (4812100000),20~24,"20,917","20,608","19,942","19,080","18,065","17,725",35.253712,128.640284
경상남도 창원시 진해구 (4812900000),00~07,"18,054","18,075","17,826","17,338","16,208","14,710",35.1327,128.710606
경상남도 창원시 진해구 (4812900000),08~13,"12,538","12,782","12,915","13,151","13,582","13,861",35.1327,128.710606
경상남도 창원시 진해구 (4812900000),14~16,"6,796","6,555","6,185","6,089","6,000","5,944",35.1327,128.710606
