행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경상북도 경산시 (4729000000),00~07,"18,903","19,096","18,667","18,085","17,238","15,769",35.82503,128.741538
경상북도 경산시 (4729000000),08~13,"13,138","12,908","12,906","12,831","13,307","13,672",35.82503,128.741538
경상북도 경산시 (4729000000),14~16,"8,396","7,950","7,260","6,812","6,384","6,263",35.82503,128.741538
경상북도 경산시 (4729000000),17~19,"9,592","9,241","9,159","8,883","8,458","7,641",35.82503,128.741538
경상북도 경산시 (4729000000),20~24,"18,256","18,437","18,482","18,372","18,223","18,136",35.82503,128.741538
경상북도 경주시 (4713000000),00~07,"15,179","14,957","14,421","13,853","13,037","12,264",35.85618,129.224824
경상북도 경주시 (4713000000),08~13,"12,716","12,485","12,149","11,916","11,947","11,986",35.85618,129.224824
경상북도 경주시 (4713000000),14~16,"8,837","8,105","7,177","6,513","6,137","5,927",35.85618,129.224824
경상북도 경주시 (4713000000),17~19,"9,876","9,433","9,247","8,752","8,078","7,115",35.85618,129.224824
경상북도 경주시 (4713000000),20~24,"16,599","16,404","16,022","15,558","14,933","14,194",35.85618,129.224824
경상북도 고령군 (4783000000),00~07,"1,897","1,772","1,631","1,451","1,304","1,103",35.72608,128.262964
경상북도 고령군 (4783000000),08~13,"1,293","1,286","1,224","1,206","1,148","1,098",35.72608,128.262964
경상북도 고령군 (4783000000),14~16,884,788,730,627,597,590,35.72608,128.262964
경상북도 고령군 (4783000000),17~19,973,980,944,895,787,706,35.72608,128.262964
경상북도 고령군 (4783000000),20~24,"1,635","1,622","1,600","1,500","1,508","1,379",35.72608,128.262964
경상북도 구미시 (4719000000),00~07,"38,047","37,607","37,219","36,203","34,233","31,778",36.119606,128.344318
경상북도 구미시 (4719000000),08~13,"27,394","27,195","26,671","26,772","27,406","28,042",36.119606,128.344318
경상북도 구미시 (4719000000),14~16,"17,651","16,474","15,003","13,880","13,235","12,648",36.119606,128.344318
경상북도 구미시 (4719000000),17~19,"18,407","18,135","17,715","17,331","16,020","14,450",36.119606,128.344318
경상북도 구미시 (4719000000),20~24,"32,968","32,430","31,865","30,794","29,166","27,556",36.119606,128.344318
경상북도 군위군 (4772000000),00~07,753,728,716,639,590,517,36.242887,128.572883
경상북도 군위군 (4772000000),08~13,555,542,551,555,532,556,36.242887,128.572883
경상북도 군위군 (4772000000),14~16,427,389,337,305,272,268,36.242887,128.572883
경상북도 군위군 (4772000000),17~19,582,566,520,445,416,342,36.242887,128.572883
경상북도 군위군 (4772000000),20~24,"1,038","1,008",989,991,876,799,36.242887,128.572883
경상북도 김천시 (4715000000),00~07,"9,019","9,356","9,391","9,054","8,765","8,121",36.139876,128.113618
경상북도 김천시 (4715000000),08~13,"6,440","6,600","6,646","6,620","6,778","6,980",36.139876,128.113618
경상북도 김천시 (4715000000),14~16,"4,524","4,271","3,848","3,564","3,489","3,525",36.139876,128.113618
경상북도 김천시 (4715000000),17~19,"5,137","4,910","4,907","4,710","4,336","4,030",36.139876,128.113618
경상북도 김천시 (4715000000),20~24,"8,797","8,756","8,518","8,161","7,983","7,644",36.139876,128.113618
경상북도 문경시 (4728000000),00~07,"4,090","3,963","3,749","3,410","3,160","3,058",36.586494,128.186799
경상북도 문경시 (4728000000),08~13,"3,310","3,144","3,030","2,956","3,042","3,039",36.586494,128.186799
경상북도 문경시 (4728000000),14~16,"2,383","2,311","2,033","1,812","1,713","1,606",36.586494,128.186799
경상북도 문경시 (4728000000),17~19,"2,592","2,534","2,481","2,392","2,284","2,011",36.586494,128.186799
경상북도 문경시 (4728000000),20~24,"3,905","3,916","3,812","3,665","3,684","3,558",36.586494,128.186799
경상북도 봉화군 (4792000000),00~07,"1,617","1,519","1,472","1,375","1,215","1,066",36.893085,128.732527
경상북도 봉화군 (4792000000),08~13,"1,133","1,103","1,072","1,020","1,045","1,022",36.893085,128.732527
경상북도 봉화군 (4792000000),14~16,794,745,647,620,567,540,36.893085,128.732527
경상북도 봉화군 (4792000000),17~19,863,849,818,811,764,651,36.893085,128.732527
경상북도 봉화군 (4792000000),20~24,"1,373","1,344","1,373","1,323","1,202","1,124",36.893085,128.732527
경상북도 상주시 (4725000000),00~07,"4,989","4,819","4,627","4,455","4,164","3,926",36.410949,128.158981
경상북도 상주시 (4725000000),08~13,"4,409","4,383","4,254","4,193","4,149","4,112",36.410949,128.158981
경상북도 상주시 (4725000000),14~16,"3,081","2,870","2,574","2,304","2,349","2,206",36.410949,128.158981
경상북도 상주시 (4725000000),17~19,"3,414","3,306","3,208","3,048","2,988","2,659",36.410949,128.158981
경상북도 상주시 (4725000000),20~24,"5,242","5,180","5,161","5,197","5,048","4,675",36.410949,128.158981
경상북도 성주군 (4784000000),00~07,"2,023","2,001","1,905","1,807","1,619","1,499",35.919161,128.282974
경상북도 성주군 (4784000000),08~13,"1,340","1,341","1,294","1,269","1,293","1,249",35.919161,128.282974
경상북도 성주군 (4784000000),14~16,"1,039",912,802,700,677,650,35.919161,128.282974
경상북도 성주군 (4784000000),17~19,"1,262","1,182","1,109","1,043",920,805,35.919161,128.282974
경상북도 성주군 (4784000000),20~24,"2,379","2,305","2,184","2,077","1,882","1,725",35.919161,128.282974
경상북도 안동시 (4717000000),00~07,"11,232","10,954","10,359","9,424","8,759","8,123",36.568405,128.729529
경상북도 안동시 (4717000000),08~13,"8,617","8,392","8,137","7,726","7,682","7,799",36.568405,128.729529
경상북도 안동시 (4717000000),14~16,"5,426","5,227","4,761","4,353","4,078","4,016",36.568405,128.729529
경상북도 안동시 (4717000000),17~19,"5,836","5,633","5,566","5,258","5,051","4,619",36.568405,128.729529
경상북도 안동시 (4717000000),20~24,"9,921","9,956","9,834","9,305","9,228","8,620",36.568405,128.729529
경상북도 영덕군 (4777000000),00~07,"1,587","1,597","1,578","1,524","1,479","1,336",36.415049,129.366113
경상북도 영덕군 (4777000000),08~13,"1,373","1,307","1,267","1,239","1,195","1,153",36.415049,129.366113
경상북도 영덕군 (4777000000),14~16,898,829,723,691,664,642,36.415049,129.366113
경상북도 영덕군 (4777000000),17~19,"1,020",978,933,875,784,694,36.415049,129.366113
경상북도 영덕군 (4777000000),20~24,"1,737","1,735","1,643","1,574","1,421","1,329",36.415049,129.366113
경상북도 영양군 (4776000000),00~07,768,740,718,656,631,585,36.666596,129.112423
경상북도 영양군 (4776000000),08~13,602,584,556,565,546,537,36.666596,129.112423
경상북도 영양군 (4776000000),14~16,392,379,341,307,278,249,36.666596,129.112423
경상북도 영양군 (4776000000),17~19,469,444,425,393,388,322,36.666596,129.112423
경상북도 영양군 (4776000000),20~24,786,745,707,728,650,586,36.666596,129.112423
경상북도 영주시 (4721000000),00~07,"6,049","5,946","5,814","5,427","5,011","4,464",36.805676,128.624
경상북도 영주시 (4721000000),08~13,"5,466","5,313","5,245","5,121","5,049","5,049",36.805676,128.624
경상북도 영주시 (4721000000),14~16,"3,733","3,560","3,122","2,853","2,695","2,598",36.805676,128.624
경상북도 영주시 (4721000000),17~19,"4,152","3,941","3,842","3,672","3,378","2,984",36.805676,128.624
경상북도 영주시 (4721000000),20~24,"6,295","6,206","6,184","6,043","5,813","5,437",36.805676,128.624
경상북도 영천시 (4723000000),00~07,"5,156","5,052","4,942","4,653","4,703","4,540",35.973255,128.938615
경상북도 영천시 (4723000000),08~13,"3,826","3,780","3,748","3,679","3,736","3,761",35.973255,128.938615
경상북도 영천시 (4723000000),14~16,"2,700","2,441","2,194","2,022","1,956","1,882",35.973255,128.938615
경상북도 영천시 (4723000000),17~19,"3,160","3,008","2,878","2,768","2,563","2,277",35.973255,128.938615
경상북도 영천시 (4723000000),20~24,"5,387","5,388","5,411","5,557","5,825","5,363",35.973255,128.938615
경상북도 예천군 (4790000000),00~07,"2,096","2,417","2,734","3,488","3,633","3,528",36.64675,128.437416
경상북도 예천군 (4790000000),08~13,"1,581","1,695","1,978","2,513","2,820","2,981",36.64675,128.437416
경상북도 예천군 (4790000000),14~16,"1,025","1,039","1,024","1,147","1,174","1,222",36.64675,128.437416
경상북도 예천군 (4790000000),17~19,"1,139","1,086","1,142","1,268","1,315","1,237",36.64675,128.437416
경상북도 예천군 (4790000000),20~24,"1,971","1,971","2,031","2,199","2,124","2,093",36.64675,128.437416
경상북도 울릉군 (4794000000),00~07,422,377,381,375,366,315,37.484409,130.905858
경상북도 울릉군 (4794000000),08~13,333,311,310,302,303,284,37.484409,130.905858
경상북도 울릉군 (4794000000),14~16,228,205,166,134,129,123,37.484409,130.905858
경상북도 울릉군 (4794000000),17~19,240,254,229,223,203,157,37.484409,130.905858
경상북도 울릉군 (4794000000),20~24,579,527,521,464,428,396,37.484409,130.905858
경상북도 울진군 (4793000000),00~07,"3,060","2,906","2,765","2,553","2,415","2,274",36.993092,129.400597
경상북도 울진군 (4793000000),08~13,"2,333","2,237","2,171","2,093","2,032","2,032",36.993092,129.400597
경상북도 울진군 (4793000000),14~16,"1,589","1,494","1,347","1,258","1,126","1,110",36.993092,129.400597
경상북도 울진군 (4793000000),17~19,"1,797","1,768","1,730","1,590","1,514","1,322",36.993092,129.400597
경상북도 울진군 (4793000000),20~24,"2,631","2,631","2,617","2,588","2,468","2,372",36.993092,129.400597
경상북도 의성군 (4773000000),00~07,"1,780","1,751","1,724","1,629","1,655","1,567",36.352713,128.697056
경상북도 의성군 (4773000000),08~13,"1,420","1,390","1,351","1,313","1,264","1,226",36.352713,128.697056
경상북도 의성군 (4773000000),14~16,999,913,815,762,688,674,36.352713,128.697056
경상북도 의성군 (4773000000),17~19,"1,205","1,144","1,056",979,904,814,36.352713,128.697056
경상북도 의성군 (4773000000),20~24,"2,240","2,095","1,981","1,872","1,754","1,578",36.352713,128.697056
경상북도 청도군 (4782000000),00~07,"1,473","1,404","1,356","1,284","1,227","1,153",35.64734,128.734383
경상북도 청도군 (4782000000),08~13,"1,286","1,262","1,238","1,192","1,237","1,241",35.64734,128.734383
경상북도 청도군 (4782000000),14~16,996,917,793,746,670,659,35.64734,128.734383
경상북도 청도군 (4782000000),17~19,"1,130","1,069","1,044",956,923,785,35.64734,128.734383
경상북도 청도군 (4782000000),20~24,"1,859","1,861","1,786","1,728","1,614","1,480",35.64734,128.734383
경상북도 청송군 (4775000000),00~07,"1,002",982,969,913,849,745,36.436285,129.057048
경상북도 청송군 (4775000000),08~13,797,744,706,670,655,671,36.436285,129.057048
경상북도 청송군 (4775000000),14~16,528,494,450,420,383,360,36.436285,129.057048
경상북도 청송군 (4775000000),17~19,653,599,591,522,494,439,36.436285,129.057048
경상북도 청송군 (4775000000),20~24,"1,154","1,171","1,094","1,067",972,861,36.436285,129.057048
경상북도 칠곡군 (4785000000),00~07,"10,666","10,429","9,844","9,057","8,216","7,205",35.995581,128.401674
경상북도 칠곡군 (4785000000),08~13,"7,342","7,178","7,013","6,993","7,006","7,014",35.995581,128.401674
경상북도 칠곡군 (4785000000),14~16,"4,352","4,201","3,850","3,588","3,362","3,263",35.995581,128.401674
경상북도 칠곡군 (4785000000),17~19,"4,389","4,261","4,297","4,231","4,072","3,669",35.995581,128.401674
경상북도 칠곡군 (4785000000),20~24,"7,771","7,805","7,286","6,924","6,570","6,280",35.995581,128.401674
경상북도 포항시 (4711000000),00~07,"37,312","37,079","36,066","34,526","32,521","30,155",36.019173,129.343481
경상북도 포항시 (4711000000),08~13,"27,920","27,572","27,195","27,167","27,787","28,404",36.019173,129.343481
경상북도 포항시 (4711000000),14~16,"19,067","17,576","15,558","14,357","13,760","13,384",36.019173,129.343481
경상북도 포항시 (4711000000),17~19,"20,833","19,688","19,335","18,470","16,947","15,054",36.019173,129.343481
경상북도 포항시 (4711000000),20~24,"33,939","34,035","32,991","31,988","30,567","29,091",36.019173,129.343481
경상북도 포항시 남구 (4711100000),00~07,"17,755","17,589","16,997","16,066","14,748","13,109",36.008586,129.35942
경상북도 포항시 남구 (4711100000),08~13,"12,993","12,885","12,759","12,724","12,851","13,050",36.008586,129.35942
경상북도 포항시 남구 (4711100000),14~16,"8,789","8,070","7,098","6,494","6,280","6,094",36.008586,129.35942
경상북도 포항시 남구 (4711100000),17~19,"9,594","9,005","8,725","8,417","7,661","6,740",36.008586,129.35942
경상북도 포항시 남구 (4711100000),20~24,"15,884","15,923","15,267","14,743","14,017","13,187",36.008586,129.35942
경상북도 포항시 북구 (4711300000),00~07,"19,557","19,490","19,069","18,460","17,773","17,046",36.041883,129.365641
경상북도 포항시 북구 (4711300000),08~13,"14,927","14,687","14,436","14,443","14,936","15,354",36.041883,129.365641
경상북도 포항시 북구 (4711300000),14~16,"10,278","9,506","8,460","7,863","7,480","7,290",36.041883,129.365641
경상북도 포항시 북구 (4711300000),17~19,"11,239","10,683","10,610","10,053","9,286","8,314",36.041883,129.365641
경상북도 포항시 북구 (4711300000),20~24,"18,055","18,112","17,724","17,245","16,550","15,904",36.041883,129.365641
