행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
광주광역시  (2900000000),00~07,"113,017","110,124","106,979","102,711","97,270","90,542",,
광주광역시  (2900000000),08~13,"95,861","93,561","91,031","89,770","90,220","90,619",,
광주광역시  (2900000000),14~16,"64,372","59,675","54,043","49,824","46,953","44,917",,
광주광역시  (2900000000),17~19,"69,704","67,273","65,913","62,920","58,398","52,897",,
광주광역시  (2900000000),20~24,"112,151","113,836","112,935","111,872","109,761","108,042",,
광주광역시 광산구 (2920000000),00~07,"39,808","38,539","37,139","35,026","32,885","30,040",35.12647979,126.8060709
광주광역시 광산구 (2920000000),08~13,"32,654","32,486","31,749","31,344","31,390","31,357",35.12647979,126.8060709
광주광역시 광산구 (2920000000),14~16,"19,890","18,693","17,284","16,160","15,590","15,065",35.12647979,126.8060709
광주광역시 광산구 (2920000000),17~19,"19,807","19,610","19,849","19,226","18,184","16,805",35.12647979,126.8060709
광주광역시 광산구 (2920000000),20~24,"28,731","30,031","30,544","30,813","30,850","31,259",35.12647979,126.8060709
광주광역시 남구 (2915500000),00~07,"15,036","14,726","14,534","13,960","13,841","12,792",35.14129254,126.9174879
광주광역시 남구 (2915500000),08~13,"12,999","12,799","12,700","12,770","13,254","13,557",35.14129254,126.9174879
광주광역시 남구 (2915500000),14~16,"9,214","8,431","7,675","7,058","6,645","6,502",35.14129254,126.9174879
광주광역시 남구 (2915500000),17~19,"10,345","9,870","9,443","8,854","8,283","7,379",35.14129254,126.9174879
광주광역시 남구 (2915500000),20~24,"16,723","16,578","16,134","15,832","15,423","14,666",35.14129254,126.9174879
광주광역시 동구 (2911000000),00~07,"5,451","5,166","5,099","4,973","5,247","5,624",35.15325408,126.9192051
광주광역시 동구 (2911000000),08~13,"3,898","3,656","3,570","3,444","3,800","4,032",35.15325408,126.9192051
광주광역시 동구 (2911000000),14~16,"2,938","2,608","2,325","2,135","2,059","2,029",35.15325408,126.9192051
광주광역시 동구 (2911000000),17~19,"3,532","3,318","3,256","3,019","2,942","2,679",35.15325408,126.9192051
광주광역시 동구 (2911000000),20~24,"7,023","6,906","6,768","6,738","6,942","7,271",35.15325408,126.9192051
광주광역시 북구 (2917000000),00~07,"31,583","30,655","29,805","29,433","27,465","25,759",35.16641697,126.9131751
광주광역시 북구 (2917000000),08~13,"26,256","25,250","24,436","24,265","24,129","24,358",35.16641697,126.9131751
광주광역시 북구 (2917000000),14~16,"18,346","16,888","15,149","13,934","13,001","12,178",35.16641697,126.9131751
광주광역시 북구 (2917000000),17~19,"20,902","19,618","19,006","18,189","16,580","14,892",35.16641697,126.9131751
광주광역시 북구 (2917000000),20~24,"35,671","35,490","34,670","34,016","32,642","31,634",35.16641697,126.9131751
광주광역시 서구 (2914000000),00~07,"21,139","21,038","20,402","19,319","17,832","16,327",35.15664649,126.9001107
광주광역시 서구 (2914000000),08~13,"20,054","19,370","18,576","17,947","17,647","17,315",35.15664649,126.9001107
광주광역시 서구 (2914000000),14~16,"13,984","13,055","11,610","10,537","9,658","9,143",35.15664649,126.9001107
광주광역시 서구 (2914000000),17~19,"15,118","14,857","14,359","13,632","12,409","11,142",35.15664649,126.9001107
광주광역시 서구 (2914000000),20~24,"24,003","24,831","24,819","24,473","23,904","23,212",35.15664649,126.9001107
