행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
대구광역시  (2700000000),00~07,"164,631","162,651","159,774","154,238","146,241","136,039",,
대구광역시  (2700000000),08~13,"137,480","134,564","130,656","128,397","128,671","129,602",,
대구광역시  (2700000000),14~16,"93,984","87,242","78,802","72,548","68,690","64,948",,
대구광역시  (2700000000),17~19,"104,851","99,176","96,353","92,147","85,069","77,000",,
대구광역시  (2700000000),20~24,"180,719","181,648","178,250","173,007","165,315","161,433",,
대구광역시 남구 (2720000000),00~07,"7,613","7,075","6,605","5,991","5,646","5,229",35.84027302,128.5924471
대구광역시 남구 (2720000000),08~13,"6,022","5,744","5,376","5,110","4,998","4,836",35.84027302,128.5924471
대구광역시 남구 (2720000000),14~16,"4,205","3,762","3,445","3,146","2,948","2,734",35.84027302,128.5924471
대구광역시 남구 (2720000000),17~19,"5,341","4,852","4,534","4,314","3,815","3,483",35.84027302,128.5924471
대구광역시 남구 (2720000000),20~24,"10,996","10,814","10,450","10,149","9,577","9,388",35.84027302,128.5924471
대구광역시 달서구 (2729000000),00~07,"42,195","40,273","37,711","35,383","33,282","30,461",35.83178887,128.543369
대구광역시 달서구 (2729000000),08~13,"34,859","33,540","32,178","31,341","31,160","31,015",35.83178887,128.543369
대구광역시 달서구 (2729000000),14~16,"24,839","22,585","19,803","17,973","16,944","15,935",35.83178887,128.543369
대구광역시 달서구 (2729000000),17~19,"27,863","26,046","25,150","23,870","21,844","19,273",35.83178887,128.543369
대구광역시 달서구 (2729000000),20~24,"47,326","47,237","45,594","44,039","42,068","40,851",35.83178887,128.543369
대구광역시 달성군 (2771000000),00~07,"16,367","20,025","23,769","24,633","24,461","23,397",35.7825401,128.4403463
대구광역시 달성군 (2771000000),08~13,"11,166","12,467","13,646","14,561","15,536","16,525",35.7825401,128.4403463
대구광역시 달성군 (2771000000),14~16,"6,723","6,714","6,680","6,426","6,579","6,551",35.7825401,128.4403463
대구광역시 달성군 (2771000000),17~19,"7,374","7,469","7,692","7,661","7,411","6,980",35.7825401,128.4403463
대구광역시 달성군 (2771000000),20~24,"12,523","13,414","14,390","14,368","14,045","13,762",35.7825401,128.4403463
대구광역시 동구 (2714000000),00~07,"24,910","24,538","23,685","23,091","21,681","19,655",35.88311714,128.6331267
대구광역시 동구 (2714000000),08~13,"16,729","16,660","16,347","16,356","16,261","16,335",35.88311714,128.6331267
대구광역시 동구 (2714000000),14~16,"10,215","9,593","8,831","8,333","7,872","7,381",35.88311714,128.6331267
대구광역시 동구 (2714000000),17~19,"11,904","11,261","10,939","10,554","9,727","8,813",35.88311714,128.6331267
대구광역시 동구 (2714000000),20~24,"22,452","22,545","22,162","21,499","20,350","19,568",35.88311714,128.6331267
대구광역시 북구 (2723000000),00~07,"32,608","31,375","30,380","29,322","27,697","26,221",35.88459289,128.5846153
대구광역시 북구 (2723000000),08~13,"27,195","26,107","25,018","24,280","24,125","24,193",35.88459289,128.5846153
대구광역시 북구 (2723000000),14~16,"17,906","16,889","15,228","14,072","13,290","12,531",35.88459289,128.5846153
대구광역시 북구 (2723000000),17~19,"19,472","18,640","18,341","17,764","16,639","15,206",35.88459289,128.5846153
대구광역시 북구 (2723000000),20~24,"32,558","33,196","33,439","32,759","31,819","32,318",35.88459289,128.5846153
대구광역시 서구 (2717000000),00~07,"9,565","8,996","8,264","7,510","6,548","5,712",35.87107917,128.5577121
대구광역시 서구 (2717000000),08~13,"7,620","7,021","6,473","6,029","5,805","5,700",35.87107917,128.5577121
대구광역시 서구 (2717000000),14~16,"5,818","5,223","4,517","3,899","3,440","3,096",35.87107917,128.5577121
대구광역시 서구 (2717000000),17~19,"7,557","6,735","6,206","5,492","4,872","4,220",35.87107917,128.5577121
대구광역시 서구 (2717000000),20~24,"15,159","14,466","13,512","12,447","11,061","10,103",35.87107917,128.5577121
대구광역시 수성구 (2726000000),00~07,"26,749","25,737","24,821","23,588","22,431","21,257",35.85955297,128.6224529
대구광역시 수성구 (2726000000),08~13,"30,937","30,169","28,801","27,847","27,846","28,011",35.85955297,128.6224529
대구광역시 수성구 (2726000000),14~16,"22,318","20,636","18,638","17,087","16,094","15,294",35.85955297,128.6224529
대구광역시 수성구 (2726000000),17~19,"22,965","21,945","21,385","20,371","18,862","17,201",35.85955297,128.6224529
대구광역시 수성구 (2726000000),20~24,"34,335","34,547","33,512","32,492","31,222","30,278",35.85955297,128.6224529
대구광역시 중구 (2711000000),00~07,"4,624","4,632","4,539","4,720","4,495","4,107",35.86627404,128.5998115
대구광역시 중구 (2711000000),08~13,"2,952","2,856","2,817","2,873","2,940","2,987",35.86627404,128.5998115
대구광역시 중구 (2711000000),14~16,"1,960","1,840","1,660","1,612","1,523","1,426",35.86627404,128.5998115
대구광역시 중구 (2711000000),17~19,"2,375","2,228","2,106","2,121","1,899","1,824",35.86627404,128.5998115
대구광역시 중구 (2711000000),20~24,"5,370","5,429","5,191","5,254","5,173","5,165",35.86627404,128.5998115
