행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
대전광역시  (3000000000),00~07,"115,486","111,973","107,931","102,046","94,830","87,743",,
대전광역시  (3000000000),08~13,"92,628","90,381","87,424","84,834","84,738","84,507",,
대전광역시  (3000000000),14~16,"59,133","54,960","50,086","46,797","44,265","42,427",,
대전광역시  (3000000000),17~19,"65,407","62,600","60,405","57,524","53,458","48,824",,
대전광역시  (3000000000),20~24,"113,284","113,690","112,368","110,259","107,088","104,606",,
대전광역시 대덕구 (3023000000),00~07,"13,116","12,332","11,192","10,278","9,155","8,433",36.35502859,127.4275682
대전광역시 대덕구 (3023000000),08~13,"11,197","10,615","9,969","9,393","9,139","8,942",36.35502859,127.4275682
대전광역시 대덕구 (3023000000),14~16,"7,918","7,031","6,258","5,635","5,174","4,790",36.35502859,127.4275682
대전광역시 대덕구 (3023000000),17~19,"9,089","8,619","7,971","7,376","6,636","6,028",36.35502859,127.4275682
대전광역시 대덕구 (3023000000),20~24,"15,219","15,003","14,620","14,075","13,402","12,571",36.35502859,127.4275682
대전광역시 동구 (3011000000),00~07,"17,115","15,817","14,745","13,584","12,667","11,376",36.31924845,127.4484635
대전광역시 동구 (3011000000),08~13,"12,690","12,399","12,021","11,619","11,533","11,249",36.31924845,127.4484635
대전광역시 동구 (3011000000),14~16,"7,605","7,165","6,532","6,161","5,908","5,752",36.31924845,127.4484635
대전광역시 동구 (3011000000),17~19,"9,056","8,599","8,407","7,954","7,538","6,756",36.31924845,127.4484635
대전광역시 동구 (3011000000),20~24,"17,138","17,133","16,844","16,627","16,449","15,889",36.31924845,127.4484635
대전광역시 서구 (3017000000),00~07,"35,829","35,474","34,424","33,199","31,253","29,226",36.31098323,127.3799096
대전광역시 서구 (3017000000),08~13,"30,454","29,712","28,761","28,117","28,298","28,495",36.31098323,127.3799096
대전광역시 서구 (3017000000),14~16,"20,503","18,905","17,025","16,038","15,176","14,528",36.31098323,127.3799096
대전광역시 서구 (3017000000),17~19,"22,611","21,621","20,717","19,739","18,192","16,508",36.31098323,127.3799096
대전광역시 서구 (3017000000),20~24,"39,475","39,292","38,616","37,778","36,336","35,697",36.31098323,127.3799096
대전광역시 유성구 (3020000000),00~07,"32,235","32,153","32,330","30,957","28,937","27,265",36.33207417,127.3303268
대전광역시 유성구 (3020000000),08~13,"24,118","23,872","23,483","23,060","23,318","23,558",36.33207417,127.3303268
대전광역시 유성구 (3020000000),14~16,"13,828","13,241","12,389","11,712","11,215","11,084",36.33207417,127.3303268
대전광역시 유성구 (3020000000),17~19,"14,272","14,002","13,893","13,411","12,720","11,852",36.33207417,127.3303268
대전광역시 유성구 (3020000000),20~24,"23,748","24,667","24,949","24,992","24,783","24,972",36.33207417,127.3303268
대전광역시 중구 (3014000000),00~07,"17,191","16,197","15,240","14,028","12,818","11,443",36.33282296,127.4254519
대전광역시 중구 (3014000000),08~13,"14,169","13,783","13,190","12,645","12,450","12,263",36.33282296,127.4254519
대전광역시 중구 (3014000000),14~16,"9,279","8,618","7,882","7,251","6,792","6,273",36.33282296,127.4254519
대전광역시 중구 (3014000000),17~19,"10,379","9,759","9,417","9,044","8,372","7,680",36.33282296,127.4254519
대전광역시 중구 (3014000000),20~24,"17,704","17,595","17,339","16,787","16,118","15,477",36.33282296,127.4254519
