행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
서울특별시 강남구 (1168000000),00~07,35508,33977,32343,30156,28697,26626,37.499584,127.0480782
서울특별시 강남구 (1168000000),08~13,"30,569",30953,30699,30830,32210,33679,37.499584,127.0480782
서울특별시 강남구 (1168000000),14~16,"22,390","20,784","18,924","17,984",17807,"17,603",37.499584,127.0480782
서울특별시 강남구 (1168000000),17~19,"24,907","23,763","23,370","21,731","20,539","18,561",37.499584,127.0480782
서울특별시 강남구 (1168000000),20~24,"40,169","39,396","37,710","35,665","34,511","33,548",37.499584,127.0480782
서울특별시 강동구 (1174000000),00~07,29710,27649,27298,25353,24415,26827,37.56653725,127.1594756
서울특별시 강동구 (1174000000),08~13,"22,861",21790,21331,20772,21203,23541,37.56653725,127.1594756
서울특별시 강동구 (1174000000),14~16,"15,008","13,672","12,382","11,536",10895,"11,023",37.56653725,127.1594756
서울특별시 강동구 (1174000000),17~19,"17,138","15,852","15,159","14,066","13,142","12,469",37.56653725,127.1594756
서울특별시 강동구 (1174000000),20~24,"32,097","30,631","28,949","27,171","26,314","26,658",37.56653725,127.1594756
서울특별시 강북구 (1130500000),00~07,18311,17304,16409,15005,13582,12042,37.63988688,127.0264399
서울특별시 강북구 (1130500000),08~13,"14,247",13705,13154,12700,12381,12065,37.63988688,127.0264399
서울특별시 강북구 (1130500000),14~16,"9,557","8,837","7,972","7,291",6745,"6,301",37.63988688,127.0264399
서울특별시 강북구 (1130500000),17~19,"11,396","10,622","10,267","9,687","8,856","7,971",37.63988688,127.0264399
서울특별시 강북구 (1130500000),20~24,"22,439","22,195","21,913","21,360","20,387","19,796",37.63988688,127.0264399
서울특별시 강서구 (1150000000),00~07,41087,41029,40294,38220,35320,31008,37.55446523,126.8431663
서울특별시 강서구 (1150000000),08~13,"28,390",27988,27379,26620,26704,26393,37.55446523,126.8431663
서울특별시 강서구 (1150000000),14~16,"17,468","16,681","15,258","14,334",13499,"12,876",37.55446523,126.8431663
서울특별시 강서구 (1150000000),17~19,"19,997","18,943","18,526","17,661","16,671","15,158",37.55446523,126.8431663
서울특별시 강서구 (1150000000),20~24,"40,094","39,730","39,384","37,512","35,864","34,504",37.55446523,126.8431663
서울특별시 관악구 (1162000000),00~07,27132,25802,24307,22257,19952,17610,37.47900073,126.9508695
서울특별시 관악구 (1162000000),08~13,"18,948",18114,17274,16509,16162,15472,37.47900073,126.9508695
서울특별시 관악구 (1162000000),14~16,"11,684","10,881","9,841","9,176",8558,"8,088",37.47900073,126.9508695
서울특별시 관악구 (1162000000),17~19,"14,762","13,990","13,448","12,675","11,859","10,674",37.47900073,126.9508695
서울특별시 관악구 (1162000000),20~24,"39,133","39,935","39,702","40,411","40,079","39,674",37.47900073,126.9508695
서울특별시 광진구 (1121500000),00~07,20672,20150,19595,18437,17040,15137,37.54734047,127.0740568
서울특별시 광진구 (1121500000),08~13,"16,241",15774,15243,14962,14756,14560,37.54734047,127.0740568
서울특별시 광진구 (1121500000),14~16,"11,005","9,935","8,884","8,276",7909,"7,505",37.54734047,127.0740568
서울특별시 광진구 (1121500000),17~19,"12,789","12,120","11,798","10,964","10,084","8,914",37.54734047,127.0740568
서울특별시 광진구 (1121500000),20~24,"27,524","27,651","27,292","26,788","26,259","26,330",37.54734047,127.0740568
서울특별시 구로구 (1153000000),00~07,31381,29938,27969,25415,24221,22341,37.48946107,126.8729696
서울특별시 구로구 (1153000000),08~13,"19,531",19104,18687,18339,18518,18210,37.48946107,126.8729696
서울특별시 구로구 (1153000000),14~16,"11,542","10,956","9,896","9,151",8656,"8,484",37.48946107,126.8729696
서울특별시 구로구 (1153000000),17~19,"13,321","12,578","12,118","11,677","11,101","10,057",37.48946107,126.8729696
서울특별시 구로구 (1153000000),20~24,"27,102","26,854","25,895","24,948","24,180","23,638",37.48946107,126.8729696
서울특별시 금천구 (1154500000),00~07,13275,12679,12657,11741,11069,9963,37.46596868,126.8906589
