행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
전라남도 강진군 (4681000000),00~07,"2,226","2,056","1,829","1,672","1,510",1338,34.642055,126.767247,,
전라남도 강진군 (4681000000),08~13,"1,580","1,547","1,466","1,415","1,424","1,434",34.642055,126.767247,,
전라남도 강진군 (4681000000),14~16,"1,183","1,069",929,816,754,719,34.642055,126.767247,,
전라남도 강진군 (4681000000),17~19,"1,277","1,185","1,131","1,100",983,851,34.642055,126.767247,,
전라남도 강진군 (4681000000),20~24,"2,046","1,918","1,871","1,794","1,651","1,596",34.642055,126.767247,,
전라남도 고흥군 (4677000000),00~07,"2,438","2,350","2,276","2,141","2,066",1985,34.60479,127.276331,,
전라남도 고흥군 (4677000000),08~13,"2,483","2,285","2,216","2,139","2,059","2,007",34.60479,127.276331,,
전라남도 고흥군 (4677000000),14~16,"1,758","1,631","1,456","1,300","1,187","1,137",34.60479,127.276331,,
전라남도 고흥군 (4677000000),17~19,"1,939","1,848","1,842","1,724","1,602","1,409",34.60479,127.276331,,
전라남도 고흥군 (4677000000),20~24,"2,996","2,950","2,870","2,767","2,629","2,427",34.60479,127.276331,,
전라남도 곡성군 (4672000000),00~07,"1,312","1,233","1,154","1,064",912,788,35.282037,127.292046,,
전라남도 곡성군 (4672000000),08~13,"1,152","1,121","1,071","1,033","1,007",972,35.282037,127.292046,,
전라남도 곡성군 (4672000000),14~16,822,776,706,630,631,562,35.282037,127.292046,,
전라남도 곡성군 (4672000000),17~19,"1,132","1,023",996,985,894,742,35.282037,127.292046,,
전라남도 곡성군 (4672000000),20~24,"1,695","1,695","1,639","1,612","1,548","1,327",35.282037,127.292046,,
전라남도 광양시 (4623000000),00~07,"13,217","12,786","12,339","11,689","11,017",10234,34.940622,127.695985,,
전라남도 광양시 (4623000000),08~13,"9,330","9,200","9,127","9,188","9,342","9,477",34.940622,127.695985,,
전라남도 광양시 (4623000000),14~16,"6,628","6,095","5,384","4,900","4,604","4,512",34.940622,127.695985,,
전라남도 광양시 (4623000000),17~19,"7,640","7,320","7,054","6,589","6,029","5,272",34.940622,127.695985,,
전라남도 광양시 (4623000000),20~24,"11,182","11,517","11,787","11,642","10,951","10,475",34.940622,127.695985,,
전라남도 구례군 (4673000000),00~07,"1,293","1,227","1,159","1,030",913,830,35.202509,127.462756,,
전라남도 구례군 (4673000000),08~13,"1,173","1,138","1,095","1,045","1,011",995,35.202509,127.462756,,
전라남도 구례군 (4673000000),14~16,817,768,687,602,574,521,35.202509,127.462756,,
전라남도 구례군 (4673000000),17~19,821,778,802,788,737,655,35.202509,127.462756,,
전라남도 구례군 (4673000000),20~24,"1,349","1,373","1,321","1,279","1,181","1,096",35.202509,127.462756,,
전라남도 나주시 (4617000000),00~07,"6,328","7,346","8,365","8,652","8,254",7788,35.01584,126.710879,,
전라남도 나주시 (4617000000),08~13,"4,278","4,642","5,161","5,481","5,897","6,244",35.01584,126.710879,,
전라남도 나주시 (4617000000),14~16,"2,650","2,623","2,576","2,585","2,630","2,520",35.01584,126.710879,,
전라남도 나주시 (4617000000),17~19,"2,959","2,971","3,062","3,008","2,962","2,914",35.01584,126.710879,,
전라남도 나주시 (4617000000),20~24,"5,445","5,592","5,912","6,017","5,831","5,666",35.01584,126.710879,,
전라남도 담양군 (4671000000),00~07,"2,251","2,261","2,217","2,045","1,883",1812,35.321192,126.988308,,
전라남도 담양군 (4671000000),08~13,"1,611","1,587","1,588","1,613","1,583","1,584",35.321192,126.988308,,
전라남도 담양군 (4671000000),14~16,"1,253","1,110",978,892,885,896,35.321192,126.988308,,
전라남도 담양군 (4671000000),17~19,"1,434","1,472","1,395","1,281","1,180","1,031",35.321192,126.988308,,
전라남도 담양군 (4671000000),20~24,"2,526","2,586","2,541","2,514","2,695","2,576",35.321192,126.988308,,
전라남도 목포시 (4611000000),00~07,"18,792","18,453","17,572","16,531","15,271",13493,34.81182,126.392209,,
전라남도 목포시 (4611000000),08~13,"15,449","15,117","14,761","14,655","14,873","14,930",34.81182,126.392209,,
전라남도 목포시 (4611000000),14~16,"10,209","9,496","8,488","7,794","7,281","6,873",34.81182,126.392209,,
전라남도 목포시 (4611000000),17~19,"10,697","10,379","10,229","9,904","9,094","8,093",34.81182,126.392209,,
전라남도 목포시 (4611000000),20~24,"16,050","16,295","16,054","15,972","15,611","15,073",34.81182,126.392209,,
전라남도 무안군 (4684000000),00~07,"6,688","6,511","6,253","5,884","5,440",5574,34.990394,126.481707,,
전라남도 무안군 (4684000000),08~13,"4,988","5,074","5,145","5,231","5,382","5,955",34.990394,126.481707,,
전라남도 무안군 (4684000000),14~16,"3,086","2,923","2,713","2,576","2,479","2,536",34.990394,126.481707,,
전라남도 무안군 (4684000000),17~19,"3,100","3,113","3,138","3,012","2,790","2,721",34.990394,126.481707,,
전라남도 무안군 (4684000000),20~24,"4,291","4,470","4,564","4,628","4,558","4,656",34.990394,126.481707,,
전라남도 보성군 (4678000000),00~07,"2,251","2,130","2,003","1,764","1,510",1338,34.771409,127.080085,,
전라남도 보성군 (4678000000),08~13,"1,632","1,531","1,488","1,465","1,431","1,383",34.771409,127.080085,,
전라남도 보성군 (4678000000),14~16,"1,167","1,116",955,852,788,743,34.771409,127.080085,,
전라남도 보성군 (4678000000),17~19,"1,371","1,289","1,271","1,175","1,075",935,34.771409,127.080085,,
전라남도 보성군 (4678000000),20~24,"2,054","2,067","2,024","2,016","1,844","1,757",34.771409,127.080085,,
전라남도 순천시 (4615000000),00~07,"20,271","20,047","19,711","19,230","18,682",17892,34.950603,127.487328,,
전라남도 순천시 (4615000000),08~13,"17,924","17,666","17,314","17,071","17,282","17,441",34.950603,127.487328,,
전라남도 순천시 (4615000000),14~16,"12,357","11,430","10,256","9,586","9,020","8,699",34.950603,127.487328,,
전라남도 순천시 (4615000000),17~19,"13,554","13,012","12,518","12,044","11,156","10,091",34.950603,127.487328,,
전라남도 순천시 (4615000000),20~24,"21,738","21,870","21,609","21,080","20,328","19,839",34.950603,127.487328,,
전라남도 신안군 (4691000000),00~07,"1,730","1,679","1,610","1,519","1,350",1193,34.833291,126.351379,,
전라남도 신안군 (4691000000),08~13,"1,175","1,136","1,105","1,104","1,147","1,125",34.833291,126.351379,,
전라남도 신안군 (4691000000),14~16,939,867,736,653,595,553,34.833291,126.351379,,
전라남도 신안군 (4691000000),17~19,"1,138","1,065","1,069",994,904,766,34.833291,126.351379,,
전라남도 신안군 (4691000000),20~24,"2,095","2,033","1,925","1,845","1,668","1,478",34.833291,126.351379,,
전라남도 여수시 (4613000000),00~07,"19,913","19,732","19,274","18,288","17,050",15968,34.760379,127.662316,,
전라남도 여수시 (4613000000),08~13,"16,221","15,790","15,311","14,877","15,083","15,171",34.760379,127.662316,,
전라남도 여수시 (4613000000),14~16,"11,170","10,369","9,261","8,580","7,977","7,603",34.760379,127.662316,,
전라남도 여수시 (4613000000),17~19,"12,256","11,745","11,499","10,992","10,139","8,998",34.760379,127.662316,,
전라남도 여수시 (4613000000),20~24,"19,899","19,939","19,243","18,776","18,329","17,703",34.760379,127.662316,,
전라남도 영광군 (4687000000),00~07,"3,294","3,220","3,097","2,982","3,006",2995,35.27713,126.512067,,
전라남도 영광군 (4687000000),08~13,"2,522","2,465","2,382","2,376","2,373","2,391",35.27713,126.512067,,
전라남도 영광군 (4687000000),14~16,"1,798","1,701","1,458","1,340","1,228","1,171",35.27713,126.512067,,
전라남도 영광군 (4687000000),17~19,"1,999","1,894","1,825","1,755","1,604","1,431",35.27713,126.512067,,
전라남도 영광군 (4687000000),20~24,"3,085","3,064","3,026","2,937","2,786","2,637",35.27713,126.512067,,
전라남도 영암군 (4683000000),00~07,"4,307","4,065","3,615","3,331","3,138",2787,34.800155,126.69681,,
전라남도 영암군 (4683000000),08~13,"2,908","2,696","2,592","2,530","2,543","2,519",34.800155,126.69681,,
전라남도 영암군 (4683000000),14~16,"1,900","1,741","1,568","1,435","1,336","1,254",34.800155,126.69681,,
전라남도 영암군 (4683000000),17~19,"1,938","1,898","1,929","1,862","1,724","1,571",34.800155,126.69681,,
전라남도 영암군 (4683000000),20~24,"2,953","3,042","2,895","2,857","2,834","2,864",34.800155,126.69681,,
전라남도 완도군 (4689000000),00~07,"3,017","3,007","2,946","2,783","2,661",2458,34.31099,126.755051,,
전라남도 완도군 (4689000000),08~13,"2,266","2,186","2,147","2,153","2,133","2,131",34.31099,126.755051,,
전라남도 완도군 (4689000000),14~16,"1,544","1,424","1,220","1,126","1,071","1,080",34.31099,126.755051,,
전라남도 완도군 (4689000000),17~19,"1,572","1,557","1,566","1,513","1,372","1,193",34.31099,126.755051,,
전라남도 완도군 (4689000000),20~24,"2,378","2,352","2,331","2,283","2,142","2,069",34.31099,126.755051,,
전라남도 장성군 (4688000000),00~07,"2,887","2,834","2,763","2,618","2,442",2157,35.30183,126.784829,,
전라남도 장성군 (4688000000),08~13,"2,001","1,983","1,943","1,920","1,929","1,941",35.30183,126.784829,,
전라남도 장성군 (4688000000),14~16,"1,356","1,268","1,119","1,040",996,949,35.30183,126.784829,,
전라남도 장성군 (4688000000),17~19,"1,417","1,369","1,347","1,322","1,211","1,083",35.30183,126.784829,,
전라남도 장성군 (4688000000),20~24,"2,268","2,272","2,314","2,265","2,196","2,059",35.30183,126.784829,,
전라남도 장흥군 (4680000000),00~07,"1,912","1,809","1,748","1,661","1,637",1546,34.681597,126.907091,,
전라남도 장흥군 (4680000000),08~13,"1,771","1,697","1,614","1,526","1,508","1,496",34.681597,126.907091,,
전라남도 장흥군 (4680000000),14~16,"1,280","1,183","1,090",984,862,786,34.681597,126.907091,,
전라남도 장흥군 (4680000000),17~19,"1,432","1,373","1,325","1,254","1,145","1,037",34.681597,126.907091,,
전라남도 장흥군 (4680000000),20~24,"2,138","2,128","2,142","2,052","1,877","1,743",34.681597,126.907091,,
전라남도 진도군 (4690000000),00~07,"1,702","1,639","1,578","1,488","1,391",1262,34.486788,126.263562,,
전라남도 진도군 (4690000000),08~13,"1,389","1,305","1,265","1,251","1,297","1,280",34.486788,126.263562,,
전라남도 진도군 (4690000000),14~16,967,878,812,707,629,575,34.486788,126.263562,,
전라남도 진도군 (4690000000),17~19,"1,012",988,961,951,872,786,34.486788,126.263562,,
전라남도 진도군 (4690000000),20~24,"1,456","1,491","1,440","1,421","1,387","1,309",34.486788,126.263562,,
전라남도 함평군 (4686000000),00~07,"1,643","1,566","1,476","1,324","1,171",1043,35.065903,126.516688,,
