행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
전라북도 고창군 (4579000000),00~07,"2,730","2,619","2,500","2,331","2,191","2,000",35.435779,126.702141
전라북도 고창군 (4579000000),08~13,"2,455","2,370","2,280","2,246","2,251","2,239",35.435779,126.702141
전라북도 고창군 (4579000000),14~16,"2,010","1,924","1,734","1,470","1,291","1,164",35.435779,126.702141
전라북도 고창군 (4579000000),17~19,"2,013","2,035","1,976","1,861","1,752","1,491",35.435779,126.702141
전라북도 고창군 (4579000000),20~24,"3,280","3,172","3,059","2,893","2,619","2,409",35.435779,126.702141
전라북도 군산시 (4513000000),00~07,"21,425","21,046","20,103","18,842","17,347","15,768",35.967597,126.736855
전라북도 군산시 (4513000000),08~13,"16,440","16,117","15,876","15,816","16,006","16,029",35.967597,126.736855
전라북도 군산시 (4513000000),14~16,"10,534","9,870","9,029","8,335","7,897","7,629",35.967597,126.736855
전라북도 군산시 (4513000000),17~19,"10,977","10,774","10,583","10,239","9,553","8,759",35.967597,126.736855
전라북도 군산시 (4513000000),20~24,"17,087","17,158","16,882","16,605","16,273","15,891",35.967597,126.736855
전라북도 김제시 (4521000000),00~07,"4,560","4,385","4,290","3,941","3,546","3,146",35.803492,126.880505
전라북도 김제시 (4521000000),08~13,"3,847","3,721","3,701","3,651","3,617","3,597",35.803492,126.880505
전라북도 김제시 (4521000000),14~16,"2,507","2,371","2,178","1,940","1,838","1,779",35.803492,126.880505
전라북도 김제시 (4521000000),17~19,"2,887","2,692","2,584","2,457","2,309","2,123",35.803492,126.880505
전라북도 김제시 (4521000000),20~24,"4,771","4,693","4,574","4,441","4,108","3,820",35.803492,126.880505
전라북도 남원시 (4519000000),00~07,"4,938","4,713","4,466","4,281","3,993","3,812",35.41634,127.390362
전라북도 남원시 (4519000000),08~13,"4,646","4,475","4,301","4,157","4,074","3,966",35.41634,127.390362
전라북도 남원시 (4519000000),14~16,"3,065","2,903","2,646","2,404","2,245","2,118",35.41634,127.390362
전라북도 남원시 (4519000000),17~19,"3,347","3,183","3,088","2,963","2,792","2,567",35.41634,127.390362
전라북도 남원시 (4519000000),20~24,"4,803","4,897","4,794","4,750","4,483","4,278",35.41634,127.390362
전라북도 무주군 (4573000000),00~07,"1,346","1,238","1,147","1,068",948,883,36.00681,127.660819
전라북도 무주군 (4573000000),08~13,"1,108","1,083","1,125","1,096","1,086","1,069",36.00681,127.660819
전라북도 무주군 (4573000000),14~16,657,632,575,524,506,510,36.00681,127.660819
전라북도 무주군 (4573000000),17~19,708,671,657,649,637,574,36.00681,127.660819
전라북도 무주군 (4573000000),20~24,"1,218","1,167","1,133","1,093","1,016",937,36.00681,127.660819
전라북도 부안군 (4580000000),00~07,"2,663","2,624","2,490","2,310","2,122","1,930",35.731782,126.733455
전라북도 부안군 (4580000000),08~13,"2,361","2,276","2,150","2,029","2,010","2,002",35.731782,126.733455
전라북도 부안군 (4580000000),14~16,"1,719","1,610","1,401","1,242","1,106","1,048",35.731782,126.733455
전라북도 부안군 (4580000000),17~19,"1,877","1,834","1,808","1,714","1,572","1,358",35.731782,126.733455
전라북도 부안군 (4580000000),20~24,"2,959","3,019","2,942","2,752","2,579","2,409",35.731782,126.733455
전라북도 순창군 (4577000000),00~07,"1,436","1,489","1,475","1,454","1,342","1,209",35.374452,127.137619
전라북도 순창군 (4577000000),08~13,"1,317","1,298","1,286","1,273","1,230","1,178",35.374452,127.137619
전라북도 순창군 (4577000000),14~16,825,786,722,692,671,675,35.374452,127.137619
전라북도 순창군 (4577000000),17~19,878,881,850,836,786,714,35.374452,127.137619
전라북도 순창군 (4577000000),20~24,"1,409","1,350","1,331","1,334","1,248","1,175",35.374452,127.137619
전라북도 완주군 (4571000000),00~07,"7,777","7,563","7,403","6,694","5,894","5,195",35.904701,127.162069
전라북도 완주군 (4571000000),08~13,"5,189","5,263","5,351","5,351","5,255","5,266",35.904701,127.162069
전라북도 완주군 (4571000000),14~16,"2,937","2,754","2,576","2,416","2,358","2,360",35.904701,127.162069
전라북도 완주군 (4571000000),17~19,"3,129","3,053","3,054","2,995","2,719","2,522",35.904701,127.162069
전라북도 완주군 (4571000000),20~24,"5,047","5,355","5,260","5,111","4,789","4,607",35.904701,127.162069
전라북도 익산시 (4514000000),00~07,"20,401","19,885","18,992","17,655","16,040","14,218",35.948213,126.957688
전라북도 익산시 (4514000000),08~13,"17,615","17,128","16,497","15,918","15,659","15,527",35.948213,126.957688
전라북도 익산시 (4514000000),14~16,"11,567","10,791","9,957","9,150","8,567","8,052",35.948213,126.957688
전라북도 익산시 (4514000000),17~19,"12,940","12,254","12,398","11,651","10,733","9,718",35.948213,126.957688
전라북도 익산시 (4514000000),20~24,"22,162","22,304","22,996","22,072","20,631","19,632",35.948213,126.957688
전라북도 임실군 (4575000000),00~07,"1,449","1,347","1,354","1,251","1,166","1,070",35.617804,127.289072
