행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
제주특별자치도 서귀포시 (5013000000),00~07,"11,076","11,636","12,194","12,092","11,514","10,934",33.253906,126.559672
제주특별자치도 서귀포시 (5013000000),08~13,"9,380","9,630","10,071","10,414","10,666","11,012",33.253906,126.559672
제주특별자치도 서귀포시 (5013000000),14~16,"5,886","5,701","5,223","5,010","4,836","4,902",33.253906,126.559672
제주특별자치도 서귀포시 (5013000000),17~19,"6,105","6,085","6,096","6,065","5,704","5,226",33.253906,126.559672
제주특별자치도 서귀포시 (5013000000),20~24,"10,105","10,469","10,819","10,650","10,133","9,734",33.253906,126.559672
제주특별자치도 제주시 (5011000000),00~07,"38,485","38,674","38,422","38,123","36,742","34,754",33.499602,126.531306
제주특별자치도 제주시 (5011000000),08~13,"31,133","31,133","30,900","31,090","31,751","32,605",33.499602,126.531306
제주특별자치도 제주시 (5011000000),14~16,"19,012","18,161","16,940","16,168","15,719","15,226",33.499602,126.531306
제주특별자치도 제주시 (5011000000),17~19,"19,532","19,135","19,273","18,951","17,984","16,787",33.499602,126.531306
제주특별자치도 제주시 (5011000000),20~24,"31,612","32,581","32,832","32,737","32,069","31,762",33.499602,126.531306
