행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
충청남도 계룡시 (4425000000),00~07,"3,500","3,624","3,685","3,424","3,115","2,829",36.274402,127.248784,,
충청남도 계룡시 (4425000000),08~13,"3,547","3,648","3,640","3,636","3,607","3,461",36.274402,127.248784,,
충청남도 계룡시 (4425000000),14~16,"2,290","2,223","2,142","2,032","1,959","1,932",36.274402,127.248784,,
충청남도 계룡시 (4425000000),17~19,"2,166","2,229","2,314","2,286","2,137","2,049",36.274402,127.248784,,
충청남도 계룡시 (4425000000),20~24,"2,724","2,880","2,963","2,980","2,964","2,862",36.274402,127.248784,,
충청남도 공주시 (4415000000),00~07,"5,809","5,514","5,301","4,953","4,716","4,353",36.446676,127.118999,,
충청남도 공주시 (4415000000),08~13,"5,304","5,035","4,737","4,614","4,619","4,588",36.446676,127.118999,,
충청남도 공주시 (4415000000),14~16,"3,562","3,320","2,961","2,678","2,464","2,371",36.446676,127.118999,,
충청남도 공주시 (4415000000),17~19,"4,130","3,929","3,694","3,477","3,268","2,868",36.446676,127.118999,,
충청남도 공주시 (4415000000),20~24,"7,087","7,172","7,118","6,954","6,660","6,140",36.446676,127.118999,,
충청남도 금산군 (4471000000),00~07,"2,879","2,744","2,546","2,318","2,035","1,886",36.108725,127.488065,,
충청남도 금산군 (4471000000),08~13,"2,431","2,415","2,352","2,448","2,472","2,404",36.108725,127.488065,,
충청남도 금산군 (4471000000),14~16,"1,685","1,524","1,382","1,323","1,378","1,303",36.108725,127.488065,,
충청남도 금산군 (4471000000),17~19,"1,726","1,731","1,686","1,628","1,480","1,345",36.108725,127.488065,,
충청남도 금산군 (4471000000),20~24,"2,627","2,614","2,541","2,499","2,394","2,214",36.108725,127.488065,,
충청남도 논산시 (4423000000),00~07,"7,000","6,702","6,607","6,308","6,005","5,542",36.187098,127.098794,,
충청남도 논산시 (4423000000),08~13,"6,140","6,042","5,942","5,766","5,672","5,547",36.187098,127.098794,,
충청남도 논산시 (4423000000),14~16,"4,077","3,713","3,340","3,117","2,954","2,864",36.187098,127.098794,,
충청남도 논산시 (4423000000),17~19,"4,704","4,470","4,240","3,953","3,634","3,262",36.187098,127.098794,,
충청남도 논산시 (4423000000),20~24,"7,354","7,331","6,966","6,699","6,435","6,084",36.187098,127.098794,,
충청남도 당진시 (4427000000),00~07,"14,957","14,755","14,470","13,867","13,013","12,021",36.889912,126.645842,,
충청남도 당진시 (4427000000),08~13,"9,180","9,418","9,660","9,899","10,277","10,503",36.889912,126.645842,,
충청남도 당진시 (4427000000),14~16,"5,292","5,080","4,648","4,421","4,345","4,392",36.889912,126.645842,,
충청남도 당진시 (4427000000),17~19,"5,263","5,121","5,224","5,197","4,899","4,486",36.889912,126.645842,,
충청남도 당진시 (4427000000),20~24,"8,664","8,655","8,660","8,434","8,047","7,787",36.889912,126.645842,,
충청남도 보령시 (4418000000),00~07,"6,150","5,920","5,756","5,353","4,928","4,612",36.333464,126.612754,,
충청남도 보령시 (4418000000),08~13,"5,227","5,113","4,999","4,873","4,868","4,780",36.333464,126.612754,,
충청남도 보령시 (4418000000),14~16,"3,395","3,161","2,828","2,619","2,494","2,427",36.333464,126.612754,,
충청남도 보령시 (4418000000),17~19,"3,767","3,536","3,497","3,302","3,019","2,744",36.333464,126.612754,,
충청남도 보령시 (4418000000),20~24,"5,772","5,793","5,745","5,558","5,359","5,102",36.333464,126.612754,,
충청남도 부여군 (4476000000),00~07,"3,059","2,921","2,773","2,592","2,385","2,171",36.275701,126.909821,,
충청남도 부여군 (4476000000),08~13,"2,953","2,820","2,666","2,597","2,514","2,456",36.275701,126.909821,,
충청남도 부여군 (4476000000),14~16,"2,139","1,920","1,718","1,559","1,489","1,393",36.275701,126.909821,,
충청남도 부여군 (4476000000),17~19,"2,459","2,333","2,231","2,104","1,885","1,669",36.275701,126.909821,,
충청남도 부여군 (4476000000),20~24,"3,756","3,814","3,719","3,591","3,377","3,109",36.275701,126.909821,,
충청남도 서산시 (4421000000),00~07,"13,868","13,603","13,340","13,085","12,602","11,887",36.784786,126.450299,,
충청남도 서산시 (4421000000),08~13,"10,341","10,233","10,156","10,190","10,501","10,718",36.784786,126.450299,,
충청남도 서산시 (4421000000),14~16,"6,502","6,134","5,596","5,250","4,951","4,842",36.784786,126.450299,,
충청남도 서산시 (4421000000),17~19,"6,429","6,391","6,374","6,348","5,912","5,411",36.784786,126.450299,,
충청남도 서산시 (4421000000),20~24,"9,911","9,902","9,859","9,790","9,594","9,397",36.784786,126.450299,,
충청남도 서천군 (4477000000),00~07,"2,442","2,319","2,234","2,074","1,867","1,714",36.080361,126.69173,,
