행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
충청북도 괴산군 (4376000000),00~07,"1,309","1,241","1,208","1,100","1,063",952,36.815327,127.786619,,
충청북도 괴산군 (4376000000),08~13,"1,199","1,162","1,144","1,111","1,083","1,079",36.815327,127.786619,,
충청북도 괴산군 (4376000000),14~16,931,835,749,653,601,527,36.815327,127.786619,,
충청북도 괴산군 (4376000000),17~19,968,981,970,938,848,751,36.815327,127.786619,,
충청북도 괴산군 (4376000000),20~24,"1,713","1,703","1,624","1,888","1,878","1,604",36.815327,127.786619,,
충청북도 단양군 (4380000000),00~07,"1,289","1,191","1,113","1,065",981,867,36.984667,128.365463,,
충청북도 단양군 (4380000000),08~13,"1,307","1,262","1,193","1,131","1,076","1,055",36.984667,128.365463,,
충청북도 단양군 (4380000000),14~16,835,797,724,678,642,606,36.984667,128.365463,,
충청북도 단양군 (4380000000),17~19,955,914,889,831,765,698,36.984667,128.365463,,
충청북도 단양군 (4380000000),20~24,"1,482","1,470","1,429","1,442","1,324","1,227",36.984667,128.365463,,
충청북도 보은군 (4372000000),00~07,"1,454","1,493","1,463","1,362","1,210","1,091",36.48943,127.729483,,
충청북도 보은군 (4372000000),08~13,"1,318","1,250","1,244","1,197","1,165","1,176",36.48943,127.729483,,
충청북도 보은군 (4372000000),14~16,958,873,768,694,648,607,36.48943,127.729483,,
충청북도 보은군 (4372000000),17~19,"1,010","1,006",969,935,847,734,36.48943,127.729483,,
충청북도 보은군 (4372000000),20~24,"1,649","1,654","1,585","1,475","1,424","1,339",36.48943,127.729483,,
충청북도 영동군 (4374000000),00~07,"2,323","2,217","2,223","2,130","2,007","1,799",36.175015,127.78343,,
충청북도 영동군 (4374000000),08~13,"2,052","1,937","1,860","1,810","1,826","1,816",36.175015,127.78343,,
충청북도 영동군 (4374000000),14~16,"1,446","1,356","1,194","1,084",980,972,36.175015,127.78343,,
충청북도 영동군 (4374000000),17~19,"1,820","1,683","1,695","1,671","1,558","1,246",36.175015,127.78343,,
충청북도 영동군 (4374000000),20~24,"3,450","3,213","3,086","3,098","2,937","2,742",36.175015,127.78343,,
충청북도 옥천군 (4373000000),00~07,"2,698","2,601","2,439","2,253","2,058","1,903",36.306333,127.571269,,
충청북도 옥천군 (4373000000),08~13,"2,316","2,292","2,258","2,230","2,265","2,243",36.306333,127.571269,,
충청북도 옥천군 (4373000000),14~16,"1,612","1,473","1,326","1,185","1,128","1,126",36.306333,127.571269,,
충청북도 옥천군 (4373000000),17~19,"1,888","1,708","1,598","1,568","1,474","1,301",36.306333,127.571269,,
충청북도 옥천군 (4373000000),20~24,"2,795","2,815","2,759","2,704","2,647","2,486",36.306333,127.571269,,
충청북도 음성군 (4377000000),00~07,"6,640","6,563","6,274","5,697","5,123","4,479",36.94023,127.690495,,
충청북도 음성군 (4377000000),08~13,"5,072","4,890","4,760","4,610","4,554","4,524",36.94023,127.690495,,
충청북도 음성군 (4377000000),14~16,"3,177","2,995","2,668","2,437","2,283","2,234",36.94023,127.690495,,
충청북도 음성군 (4377000000),17~19,"3,323","3,254","3,199","3,058","2,880","2,534",36.94023,127.690495,,
충청북도 음성군 (4377000000),20~24,"5,347","5,429","5,230","5,080","5,025","4,712",36.94023,127.690495,,
충청북도 제천시 (4315000000),00~07,"8,214","8,061","7,914","7,677","7,215","6,656",37.132539,128.190948,,
충청북도 제천시 (4315000000),08~13,"6,940","6,735","6,638","6,586","6,581","6,599",37.132539,128.190948,,
충청북도 제천시 (4315000000),14~16,"4,830","4,456","4,103","3,711","3,500","3,388",37.132539,128.190948,,
충청북도 제천시 (4315000000),17~19,"5,632","5,528","5,360","4,848","4,571","4,009",37.132539,128.190948,,
충청북도 제천시 (4315000000),20~24,"9,154","9,521","9,413","8,928","8,664","8,071",37.132539,128.190948,,
충청북도 증평군 (4374500000),00~07,"3,264","3,278","3,276","3,064","2,819","2,563",36.785325,127.581469,,
충청북도 증평군 (4374500000),08~13,"2,084","2,103","2,148","2,176","2,193","2,195",36.785325,127.581469,,
충청북도 증평군 (4374500000),14~16,"1,212","1,170","1,039",992,976,936,36.785325,127.581469,,
충청북도 증평군 (4374500000),17~19,"1,352","1,318","1,293","1,215","1,167","1,009",36.785325,127.581469,,
충청북도 증평군 (4374500000),20~24,"2,374","2,336","2,405","2,317","2,197","2,150",36.785325,127.581469,,
충청북도 진천군 (4375000000),00~07,"5,007","5,199","5,617","5,941","6,031","5,940",36.855235,127.435702,,
충청북도 진천군 (4375000000),08~13,"3,742","3,944","4,239","4,539","4,970","5,210",36.855235,127.435702,,
충청북도 진천군 (4375000000),14~16,"2,286","2,199","2,118","2,146","2,189","2,233",36.855235,127.435702,,
충청북도 진천군 (4375000000),17~19,"2,563","2,608","2,462","2,619","2,595","2,416",36.855235,127.435702,,
충청북도 진천군 (4375000000),20~24,"3,736","3,950","4,168","4,346","4,363","4,313",36.855235,127.435702,,
충청북도 청주시 (4311000000),00~07,"68,086","67,154","65,405","63,031","60,134","56,898",36.642043,127.488811,,
충청북도 청주시 (4311000000),08~13,"51,392","50,862","49,992","49,710","50,756","52,036",36.642043,127.488811,,
충청북도 청주시 (4311000000),14~16,"32,767","30,737","28,158","26,409","25,218","24,485",36.642043,127.488811,,
충청북도 청주시 (4311000000),17~19,"36,046","34,516","33,521","32,216","30,148","27,827",36.642043,127.488811,,
충청북도 청주시 (4311000000),20~24,"61,009","61,964","61,661","60,581","58,768","57,233",36.642043,127.488811,,
충청북도 청주시 상당구 (4311100000),00~07,"12,299","11,654","11,126","11,378","11,276","12,090",36.589672,127.506393,,
