행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 고양시 (4128000000),00~07,"73,261","72,198","70,269","67,362","65,196","62,511",37.68074553,126.8181263
경기도 고양시 (4128000001),08~13,"62,051","61,203","59,674","58,275","59,101","60,316",37.68074553,126.8181263
경기도 고양시 (4128000002),14~16,"41,301","38,842","35,357","33,107","31,469","30,379",37.68074553,126.8181263
경기도 고양시 (4128000003),17~19,"44,532","43,073","42,493","40,750","38,612","35,359",37.68074553,126.8181263
경기도 고양시 (4128000004),20~24,"77,325","78,191","76,755","74,756","73,406","73,123",37.68074553,126.8181263
경기도 고양시 덕양구 (4128100000),00~07,"33,178","32,870","32,020","31,212","30,318","29,566",37.66707142,126.845738
경기도 고양시 덕양구 (4128100001),08~13,"24,511","24,415","23,823","23,654","24,433","25,365",37.66707142,126.845738
경기도 고양시 덕양구 (4128100002),14~16,"15,431","14,500","13,403","12,549","12,007","11,537",37.66707142,126.845738
경기도 고양시 덕양구 (4128100003),17~19,"17,034","16,426","16,039","15,511","14,777","13,745",37.66707142,126.845738
경기도 고양시 덕양구 (4128100004),20~24,"31,413","31,668","31,013","30,051","29,757","29,548",37.66707142,126.845738
경기도 고양시 일산동구 (4128500000),00~07,"18,491","18,363","18,005","17,415","16,366","15,754",37.683086,126.8335199
경기도 고양시 일산동구 (4128500001),08~13,"17,173","16,926","16,561","16,190","16,047","16,277",37.683086,126.8335199
경기도 고양시 일산동구 (4128500002),14~16,"11,922","11,245","10,163","9,539","8,915","8,741",37.683086,126.8335199
경기도 고양시 일산동구 (4128500003),17~19,"12,902","12,557","12,472","12,011","11,127","10,143",37.683086,126.8335199
경기도 고양시 일산동구 (4128500004),20~24,"22,664","23,086","22,649","22,364","21,534","21,574",37.683086,126.8335199
경기도 고양시 일산서구 (4128700000),00~07,"21,592","20,965","20,244","18,735","18,512","17,191",37.69207918,126.775121
경기도 고양시 일산서구 (4128700001),08~13,"20,367","19,862","19,290","18,431","18,621","18,674",37.69207918,126.775121
경기도 고양시 일산서구 (4128700002),14~16,"13,948","13,097","11,791","11,019","10,547","10,101",37.69207918,126.775121
경기도 고양시 일산서구 (4128700003),17~19,"14,596","14,090","13,982","13,228","12,708","11,471",37.69207918,126.775121
경기도 고양시 일산서구 (4128700004),20~24,"23,248","23,437","23,093","22,341","22,115","22,001",37.69207918,126.775121
