행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
부산광역시  (2600000000),00~07,"214,071","213,447","208,331","200,884","190,073","178,081",,
부산광역시  (2600000000),08~13,"163,634","160,727","156,834","155,384","158,116","161,862",,
부산광역시  (2600000000),14~16,"110,489","102,357","92,275","85,140","80,528","76,793",,
부산광역시  (2600000000),17~19,"127,833","119,704","115,552","109,364","101,269","91,359",,
부산광역시  (2600000000),20~24,"244,010","241,546","232,804","223,889","214,050","207,510",,
부산광역시 강서구 (2644000000),00~07,"10,293","12,970","14,774","15,440","15,734","15,984",35.2038012,128.8775669
부산광역시 강서구 (2644000000),08~13,"4,608","5,654","6,589","7,353","8,502","9,980",35.2038012,128.8775669
부산광역시 강서구 (2644000000),14~16,"2,172","2,389","2,409","2,471","2,713","2,943",35.2038012,128.8775669
부산광역시 강서구 (2644000000),17~19,"2,302","2,393","2,550","2,503","2,613","2,646",35.2038012,128.8775669
부산광역시 강서구 (2644000000),20~24,"4,498","4,964","5,024","4,892","4,900","5,013",35.2038012,128.8775669
부산광역시 금정구 (2641000000),00~07,"12,555","12,173","11,988","11,761","10,898","9,820",35.23108692,129.089407
부산광역시 금정구 (2641000000),08~13,"10,761","10,346","10,041","9,994","9,982","9,916",35.23108692,129.089407
부산광역시 금정구 (2641000000),14~16,"7,679","7,101","6,316","5,767","5,360","4,963",35.23108692,129.089407
부산광역시 금정구 (2641000000),17~19,"9,457","8,674","8,494","8,005","7,297","6,390",35.23108692,129.089407
부산광역시 금정구 (2641000000),20~24,"19,833","19,712","19,123","18,519","17,648","17,024",35.23108692,129.089407
부산광역시 기장군 (2671000000),00~07,"16,446","16,984","16,576","16,112","14,854","14,622",35.25588389,129.2187234
부산광역시 기장군 (2671000000),08~13,"9,577","9,994","10,207","10,656","11,213","12,156",35.25588389,129.2187234
부산광역시 기장군 (2671000000),14~16,"4,758","4,821","4,691","4,794","4,800","4,871",35.25588389,129.2187234
부산광역시 기장군 (2671000000),17~19,"4,644","4,647","4,829","4,907","4,853","4,865",35.25588389,129.2187234
