행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,경도,위도
경기도 부천시 (4119000000),0~7,"56,449","55,919","54,872","52,375","48,201","45,072",,
경기도 부천시 (4119000000),08~13,"44,079","43,133","42,075","41,613","41,108","40,610",,
경기도 부천시 (4119000000),14~16,"28,794","26,471","24,010","22,248","20,880","20,196",,
경기도 부천시 (4119000000),17~19,"33,944","32,223","30,853","28,772","26,114","24,572",,
경기도 부천시 (4119000000),20~24,"65,292","64,089","61,818","59,176","55,950","54,610",,
경기도 부천시 오정동(4119083000),0~7,-,"5,538","5,272","4,801","4,277","3,913",126.8048631,37.52129449
경기도 부천시 오정동(4119083000),08~13,-,"4,388","4,176","4,042","3,929","3,879",126.8048631,37.52129449
경기도 부천시 오정동(4119083000),14~16,-,"2,913","2,626","2,261","2,056","1,984",126.8048631,37.52129449
경기도 부천시 오정동(4119083000),17~19,-,"3,692","3,409","3,192","2,841","2,659",126.8048631,37.52129449
경기도 부천시 오정동(4119083000),20~24,-,"7,391","7,031","6,668","6,240","5,929",126.8048631,37.52129449
경기도 부천시 성곡동(4119080000),0~7,-,"5,004","4,663","4,246","3,855","3,491",126.8048631,37.52129449
경기도 부천시 성곡동(4119080000),08~13,-,"4,619","4,284","4,042","3,836","3,702",126.8048631,37.52129449
경기도 부천시 성곡동(4119080000),14~16,-,"3,169","2,783","2,463","2,263","2,093",126.8048631,37.52129449
경기도 부천시 성곡동(4119080000),17~19,-,"3,976","3,758","3,365","3,016","2,758",126.8048631,37.52129449
경기도 부천시 성곡동(4119080000),20~24,-,"7,243","7,060","6,817","6,481","6,213",126.8048631,37.52129449
경기도 부천시 범안동(4119079500),0~7,-,"6,600","7,612","8,987","8,303","7,684",126.8305141,37.46483139
경기도 부천시 범안동(4119079500),08~13,-,"4,659","5,144","6,087","6,322","6,415",126.8305141,37.46483139
경기도 부천시 범안동(4119079500),14~16,-,"2,472","2,426","2,553","2,498","2,537",126.8305141,37.46483139
경기도 부천시 범안동(4119079500),17~19,-,"2,816","2,906","2,888","2,737","2,613",126.8305141,37.46483139
경기도 부천시 범안동(4119079500),20~24,-,"5,417","5,507","5,731","5,442","5,432",126.8305141,37.46483139
경기도 부천시 소사본동(4119075000),0~7,-,"3,544","3,407","3,280","3,148","3,066",126.8020937,37.47774863
경기도 부천시 소사본동(4119075000),08~13,-,"2,759","2,678","2,475","2,436","2,342",126.8020937,37.47774863
