행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 성남시 (4113000000),00~07,"66,270","66,281","64,676","60,222","55,989","52,837",,
경기도 성남시 (4113000000),08~13,"53,118","52,546","51,776","50,461","50,500","51,070",,
경기도 성남시 (4113000000),14~16,"35,139","33,114","30,033","27,960","26,560","25,510",,
경기도 성남시 (4113000000),17~19,"37,944","36,675","36,027","34,170","31,673","28,850",,
경기도 성남시 (4113000000),20~24,"67,449","68,109","66,215","64,052","61,382","60,204",,
경기도 성남시 수정구 (4113100000),00~07,"12,841","13,870","14,333","13,497","12,731","12,586",37.43954906,127.144581
경기도 성남시 수정구 (4113100000),08~13,"9,484","9,921","10,003","9,880","9,969","10,136",37.43954906,127.144581
경기도 성남시 수정구 (4113100000),14~16,"6,294","6,135","5,685","5,269","5,113","4,975",37.43954906,127.144581
경기도 성남시 수정구 (4113100000),17~19,"7,490","7,720","7,695","7,060","6,420","6,112",37.43954906,127.144581
경기도 성남시 수정구 (4113100000),20~24,"15,008","16,320","16,496","15,852","15,393","15,712",37.43954906,127.144581
경기도 성남시 중원구 (4113300000),00~07,"15,460","15,064","13,972","12,559","11,345","10,360",37.4457587,127.175434
경기도 성남시 중원구 (4113300000),08~13,"11,651","11,010","10,354","9,837","9,544","9,292",37.4457587,127.175434
경기도 성남시 중원구 (4113300000),14~16,"7,885","7,099","6,211","5,528","5,095","4,688",37.4457587,127.175434
경기도 성남시 중원구 (4113300000),17~19,"8,988","8,204","7,759","7,291","6,731","5,915",37.4457587,127.175434
경기도 성남시 중원구 (4113300000),20~24,"17,877","17,199","15,925","15,177","14,335","13,592",37.4457587,127.175434
경기도 성남시 분당구 (4113500000),00~07,"37,969","37,347","36,371","34,166","31,913","29,891",37.41696407,127.133884
경기도 성남시 분당구 (4113500000),08~13,"31,983","31,615","31,419","30,744","30,987","31,642",37.41696407,127.133884
경기도 성남시 분당구 (4113500000),14~16,"20,960","19,880","18,137","17,163","16,352","15,847",37.41696407,127.133884
경기도 성남시 분당구 (4113500000),17~19,"21,466","20,751","20,573","19,819","18,522","16,823",37.41696407,127.133884
경기도 성남시 분당구 (4113500000),20~24,"34,564","34,590","33,794","33,023","31,654","30,900",37.41696407,127.133884
