행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
경기도 수원시 (4111000000),00~07,"95,483","94,122","91,663","88,245","82,418","75,451",37.28730801,127.0304835,,
경기도 수원시 (4111000001),08~13,"71,619","71,250","69,890","68,816","69,510","69,757",37.28730801,127.0304835,,
경기도 수원시 (4111000002),14~16,"46,057","43,328","39,873","34,187","35,317","33,833",37.28730801,127.0304835,,
경기도 수원시 (4111000003),17~19,"50,774","48,557","47,793","39,846","43,461","39,539",37.28730801,127.0304835,,
경기도 수원시 (4111000004),20~24,"92,546","93,673","92,759","83,992","88,390","86,377",37.28730801,127.0304835,,
경기도 수원시 장안구 (4111100000),00~07,"21,951","20,746","19,441","17,602","15,422","13,788",37.31006999,127.0161188,,
경기도 수원시 장안구 (4111100001),08~13,"18,371","17,961","17,308","16,367","16,138","15,657",37.31006999,127.0161188,,
경기도 수원시 장안구 (4111100002),14~16,"12,114","11,285","10,303","8,438","8,745","8,312",37.31006999,127.0161188,,
경기도 수원시 장안구 (4111100003),17~19,"14,093","13,307","12,911","10,167","11,380","10,081",37.31006999,127.0161188,,
경기도 수원시 장안구 (4111100004),20~24,"25,368","25,408","24,877","22,835","23,178","22,524",37.31006999,127.0161188,,
경기도 수원시 권선구 (4111300000),00~07,"28,579","29,426","29,445","30,412","28,133","25,734",37.26450118,126.9706767,,
경기도 수원시 권선구 (4111300001),08~13,"19,470","19,599","19,480","20,050","20,273","20,683",37.26450118,126.9706767,,
경기도 수원시 권선구 (4111300002),14~16,"12,612","11,850","10,852","10,420","9,772","9,355",37.26450118,126.9706767,,
경기도 수원시 권선구 (4111300003),17~19,"14,280","13,797","13,316","13,189","12,169","11,109",37.26450118,126.9706767,,
경기도 수원시 권선구 (4111300004),20~24,"26,692","27,176","26,968","26,989","25,811","24,747",37.26450118,126.9706767,,
경기도 수원시 팔달구 (4111500000),00~07,"12,578","11,896","11,091",9479,8287,7365,37.27950806,127.0251029,,
경기도 수원시 팔달구 (4111500001),08~13,"9,554","9,283","8,774","7,937","7,551","7,276",37.27950806,127.0251029,,
경기도 수원시 팔달구 (4111500002),14~16,"6,480","5,988","5,362","4,699","4,331","4,002",37.27950806,127.0251029,,
경기도 수원시 팔달구 (4111500003),17~19,"7,433","7,106","6,867","6,251","5,625","5,100",37.27950806,127.0251029,,
경기도 수원시 팔달구 (4111500004),20~24,"14,901","14,795","14,331","13,266","12,812","12,544",37.27950806,127.0251029,,
경기도 수원시 영통구 (4111700000),00~07,"32,375","32,054","31,686","30,752","30,576","28,564",37.2571528,127.0700354,,
경기도 수원시 영통구 (4111700001),08~13,"24,224","24,407","24,328","24,296","25,548","26,141",37.2571528,127.0700354,,
경기도 수원시 영통구 (4111700002),14~16,"14,851","14,205","13,356","12,664","12,469","12,164",37.2571528,127.0700354,,
경기도 수원시 영통구 (4111700003),17~19,"14,968","14,347","14,699","14,655","14,287","13,249",37.2571528,127.0700354,,
경기도 수원시 영통구 (4111700004),20~24,"25,585","26,294","26,583","26,539","26,589","26,562",37.2571528,127.0700354,,
