행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 시흥시 (4139000000),0~7,"31,002","30,394","31,787","34,917","36,615","36,876",126.7880711,37.39403201
경기도 시흥시 (4139000000),08~13,"25,832","25,642","26,001","27,746","29,633","32,490",126.7880711,37.39403201
경기도 시흥시 (4139000000),14~16,"16,654","15,552","14,388","13,916","13,776","13,890",126.7880711,37.39403201
경기도 시흥시 (4139000000),17~19,"18,060","17,548","17,605","17,339","16,646","15,797",126.7880711,37.39403201
경기도 시흥시 (4139000000),20~24,"30,420","30,751","31,349","31,955","32,289","32,720",126.7880711,37.39403201
경기도 시흥시 능곡동(4139064000),0~7,"1,506","1,293","1,127",968,"1,013","1,131",126.819191,37.36839229
경기도 시흥시 능곡동(4139064000),08~13,"1,539","1,525","1,460","1,351","1,294","1,271",126.819191,37.36839229
경기도 시흥시 능곡동(4139064000),14~16,797,808,734,696,698,708,126.819191,37.36839229
경기도 시흥시 능곡동(4139064000),17~19,761,753,798,773,794,783,126.819191,37.36839229
경기도 시흥시 능곡동(4139064000),20~24,"1,082","1,121","1,104","1,116","1,286","1,352",126.819191,37.36839229
경기도 시흥시 장곡동(4139063100),0~7,"1,868","1,773","1,589","1,333","1,158","2,035",126.7883282,37.38479243
경기도 시흥시 장곡동(4139063100),08~13,"1,902","1,845","1,721","1,698","1,633","2,149",126.7883282,37.38479243
경기도 시흥시 장곡동(4139063100),14~16,"1,338","1,203","1,066",922,845,954,126.7883282,37.38479243
경기도 시흥시 장곡동(4139063100),17~19,"1,151","1,191","1,191","1,177","1,038","1,077",126.7883282,37.38479243
경기도 시흥시 장곡동(4139063100),20~24,"1,390","1,422","1,497","1,509","1,502","1,816",126.7883282,37.38479243
경기도 시흥시 연성동(4139063000),0~7,"1,982","1,812","1,626","1,380","1,502","1,354",126.8222594,37.388966
경기도 시흥시 연성동(4139063000),08~13,"2,064","1,951","1,796","1,694","1,642","1,543",126.8222594,37.388966
경기도 시흥시 연성동(4139063000),14~16,"1,366","1,280","1,116",971,920,872,126.8222594,37.388966
경기도 시흥시 연성동(4139063000),17~19,"1,422","1,392","1,314","1,238","1,208","1,111",126.8222594,37.388966
경기도 시흥시 연성동(4139063000),20~24,"1,963","2,035","2,113","2,033","2,070","2,026",126.8222594,37.388966
경기도 시흥시 과림동(4139062100),0~7,60,52,42,42,37,40,126.8368324,37.43869767
경기도 시흥시 과림동(4139062100),08~13,40,35,33,37,38,24,126.8368324,37.43869767
경기도 시흥시 과림동(4139062100),14~16,18,15,15,16,16,13,126.8368324,37.43869767
경기도 시흥시 과림동(4139062100),17~19,34,22,20,19,20,17,126.8368324,37.43869767
경기도 시흥시 과림동(4139062100),20~24,91,88,78,68,58,57,126.8368324,37.43869767
경기도 시흥시 배곧동(4139059500),0~7, - , - , - ,"7,368","9,011","8,803",126.7251965,37.37107455
경기도 시흥시 배곧동(4139059500),08~13, - , - , - ,"4,383","5,735","6,130",126.7251965,37.37107455
경기도 시흥시 배곧동(4139059500),14~16, - , - , - ,"1,537","1,963","2,074",126.7251965,37.37107455
경기도 시흥시 배곧동(4139059500),17~19, - , - , - ,"1,543","1,897","1,876",126.7251965,37.37107455
경기도 시흥시 배곧동(4139059500),20~24, - , - , - ,"2,886","3,812","3,830",126.7251965,37.37107455
경기도 시흥시 정왕4동(4139059400),0~7,"3,447","4,074","6,034","1,573","1,410","1,259",126.7317727,37.36297028
경기도 시흥시 정왕4동(4139059400),08~13,"2,628","3,014","4,025","1,506","1,409","1,401",126.7317727,37.36297028
경기도 시흥시 정왕4동(4139059400),14~16,"1,694","1,716","1,995",920,819,825,126.7317727,37.36297028
경기도 시흥시 정왕4동(4139059400),17~19,"1,722","1,837","2,284","1,249","1,111",986,126.7317727,37.36297028
경기도 시흥시 정왕4동(4139059400),20~24,"2,705","2,960","3,750","2,059","1,934","1,944",126.7317727,37.36297028
경기도 시흥시 정왕3동(4139059300),0~7,"2,303","2,129","1,937","1,650","1,453","1,343",126.7200308,37.35045281
경기도 시흥시 정왕3동(4139059300),08~13,"1,604","1,602","1,447","1,344","1,309","1,308",126.7200308,37.35045281
경기도 시흥시 정왕3동(4139059300),14~16,919,837,769,679,664,613,126.7200308,37.35045281
경기도 시흥시 정왕3동(4139059300),17~19,"1,062","1,034",983,835,711,678,126.7200308,37.35045281
경기도 시흥시 정왕3동(4139059300),20~24,"1,806","1,823","1,793","1,625","1,503","1,503",126.7200308,37.35045281
경기도 시흥시 정왕2동(4139059200),0~7,"3,177","3,016","2,757","2,442","2,077","1,888",126.7401593,37.3430775
경기도 시흥시 정왕2동(4139059200),08~13,"2,665","2,533","2,378","2,210","2,152","2,079",126.7401593,37.3430775
경기도 시흥시 정왕2동(4139059200),14~16,"1,702","1,526","1,346","1,134","1,017","1,001",126.7401593,37.3430775
경기도 시흥시 정왕2동(4139059200),17~19,"1,821","1,749","1,673","1,506","1,312","1,253",126.7401593,37.3430775
경기도 시흥시 정왕2동(4139059200),20~24,"2,997","2,951","2,808","2,660","2,564","2,449",126.7401593,37.3430775
경기도 시흥시 정왕1동(4139059100),0~7,"2,068","1,916","1,661","1,408","1,190","1,052",126.7501593,37.3400775
경기도 시흥시 정왕1동(4139059100),08~13,"1,486","1,481","1,394","1,286","1,187","1,133",126.7501593,37.3400775
경기도 시흥시 정왕1동(4139059100),14~16,887,808,667,587,545,513,126.7501593,37.3400775
경기도 시흥시 정왕1동(4139059100),17~19,"1,056",941,846,737,712,609,126.7501593,37.3400775
