행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,경도,위도
경기도 안산시 (4127000000),0~7,"48,240","45,753","42,804","38,354","35,396","34,160",,
경기도 안산시 (4127000000),8~13,"41,033","39,262","37,274","35,159","34,131","34,114",,
경기도 안산시 (4127000000),14~16,"29,127","26,387","23,071","20,831","19,326","18,427",,
경기도 안산시 (4127000000),17~19,"32,724","31,254","29,951","28,121","25,506","23,657",,
경기도 안산시 (4127000000),20~24,"58,650","58,113","56,422","53,746","51,686","51,420",,
경기도 안산시 상록구 (4127100000),0~7,"26,302","24,950","23,480","20,499","18,160","17,796",126.8729587,37.31941166
경기도 안산시 상록구 (4127100000),8~13,"21,852","20,797","19,710","18,443","17,731","18,055",126.8729587,37.31941166
경기도 안산시 상록구 (4127100000),14~16,"15,796","14,141","12,417","11,039","10,125","9,766",126.8729587,37.31941166
경기도 안산시 상록구 (4127100000),17~19,"18,029","17,138","16,375","15,216","13,522","12,680",126.8729587,37.31941166
경기도 안산시 상록구 (4127100000),20~24,"32,485","32,406","31,588","29,694","28,144","28,144",126.8729587,37.31941166
경기도 안산시 단원구 (4127300000),0~7,"21,938","20,803","19,324","17,855","17,236","16,364",126.7884601,37.31429786
경기도 안산시 단원구 (4127300000),8~13,"19,181","18,465","17,564","16,716","16,400","16,059",126.7884601,37.31429786
경기도 안산시 단원구 (4127300000),14~16,"13,331","12,246","10,654","9,792","9,201","8,661",126.7884601,37.31429786
경기도 안산시 단원구 (4127300000),17~19,"14,695","14,116","13,576","12,905","11,984","10,977",126.7884601,37.31429786
경기도 안산시 단원구 (4127300000),20~24,"26,165","25,707","24,834","24,052","23,542","23,276",126.7884601,37.31429786
