행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 안양시 (4117000000),00~07,"40,524","39,641","38,535","36,176","33,746","30,469",,
경기도 안양시 (4117000001),08~13,"33,122","32,269","31,091","29,994","29,891","29,276",,
경기도 안양시 (4117000002),14~16,"22,467","20,851","19,078","17,266","16,163","15,344",,
경기도 안양시 (4117000003),17~19,"25,363","24,197","23,312","22,020","20,229","18,115",,
경기도 안양시 (4117000004),20~24,"45,750","45,066","43,759","41,662","39,516","37,373",,
경기도 안양시 만안구 (4117100000),00~07,"15,416","15,170","15,603","14,774","13,688","12,388",37.40083386,126.9278392
경기도 안양시 만안구 (4117100001),08~13,"11,550","11,274","11,111","10,717","10,534","10,217",37.40083386,126.9278392
경기도 안양시 만안구 (4117100002),14~16,"7,881","7,329","6,879","6,217","5,762","5,444",37.40083386,126.9278392
경기도 안양시 만안구 (4117100003),17~19,"9,501","8,978","8,992","8,464","7,699","6,886",37.40083386,126.9278392
경기도 안양시 만안구 (4117100004),20~24,"19,096","18,716","18,930","18,144","16,991","16,166",37.40083386,126.9278392
경기도 안양시 동안구 (4117300000),00~07,"25,108","24,471","22,932","21,402","20,058","18,081",37.40319228,126.9785428
경기도 안양시 동안구 (4117300001),08~13,"21,572","20,995","19,980","19,277","19,357","19,059",37.40319228,126.9785428
경기도 안양시 동안구 (4117300002),14~16,"14,586","13,522","12,199","11,049","10,401","9,900",37.40319228,126.9785428
경기도 안양시 동안구 (4117300003),17~19,"15,862","15,219","14,320","13,556","12,530","11,229",37.40319228,126.9785428
경기도 안양시 동안구 (4117300004),20~24,"26,654","26,350","24,829","23,518","22,525","21,207",37.40319228,126.9785428
