행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
경기도 용인시 (4146000000),00~07,"89,988","87,057","84,521","83,441","81,198","76,807",,
경기도 용인시 (4146000000),08~13,"71,236","71,608","71,848","72,427","74,159","75,432",,
경기도 용인시 (4146000000),14~16,"40,065","38,810","36,431","35,255","34,714","34,822",,
경기도 용인시 (4146000000),17~19,"40,829","40,985","41,799","41,945","41,348","39,036",,
경기도 용인시 (4146000000),20~24,"60,585","63,151","65,109","66,079","67,597","70,114",,
경기도 용인시 처인구 (4146100000),00~07,"16,596","16,131","16,026","17,682","17,485","16,170",37.30543972,127.2786034
경기도 용인시 처인구 (4146100001),08~13,"13,405","13,174","13,307","14,179","14,908","15,192",37.30543972,127.2786034
경기도 용인시 처인구 (4146100002),14~16,"8,255","7,913","7,275","7,092","6,901","6,841",37.30543972,127.2786034
경기도 용인시 처인구 (4146100003),17~19,"10,895","10,900","10,831","10,930","10,937","10,217",37.30543972,127.2786034
경기도 용인시 처인구 (4146100004),20~24,"15,334","15,935","16,560","16,896","17,201","17,568",37.30543972,127.2786034
경기도 용인시 기흥구 (4146300000),00~07,"41,724","40,403","39,070","37,180","35,559","32,656",37.28126081,127.1320872
경기도 용인시 기흥구 (4146300001),08~13,"31,351","31,936","32,123","31,856","32,079","32,226",37.28126081,127.1320872
경기도 용인시 기흥구 (4146300002),14~16,"16,674","16,171","15,241","14,735","14,688","14,692",37.28126081,127.1320872
경기도 용인시 기흥구 (4146300003),17~19,"15,619","15,716","16,320","16,411","16,067","15,181",37.28126081,127.1320872
경기도 용인시 기흥구 (4146300004),20~24,"23,887","25,016","26,036","26,582","27,485","28,936",37.28126081,127.1320872
경기도 용인시 수지구 (4146500000),00~07,"31,668","30,523","29,425","28,579","28,154","27,981",37.33319368,127.102776
경기도 용인시 수지구 (4146500001),08~13,"26,480","26,498","26,418","26,392","27,172","28,014",37.33319368,127.102776
경기도 용인시 수지구 (4146500002),14~16,"15,136","14,726","13,915","13,428","13,125","13,289",37.33319368,127.102776
경기도 용인시 수지구 (4146500003),17~19,"14,315","14,369","14,648","14,604","14,344","13,638",37.33319368,127.102776
경기도 용인시 수지구 (4146500004),20~24,"21,364","22,200","22,513","22,601","22,911","23,610",37.33319368,127.102776
