행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도
울산광역시  (3100000000),00~07,"93,671","92,677","90,317","86,619","81,871","75,804",,
울산광역시  (3100000000),08~13,"67,832","67,450","66,606","66,550","67,854","69,133",,
울산광역시  (3100000000),14~16,"45,180","41,604","37,103","34,375","32,757","31,648",,
울산광역시  (3100000000),17~19,"50,945","48,353","46,474","43,687","40,077","35,764",,
울산광역시  (3100000000),20~24,"85,678","85,224","83,011","79,569","75,395","71,748",,
울산광역시 남구 (3114000000),00~07,"23,470","23,014","21,970","20,749","19,384","18,317",35.54028425,129.3287428
울산광역시 남구 (3114000000),08~13,"18,906","18,468","17,834","17,112","17,095","17,329",35.54028425,129.3287428
울산광역시 남구 (3114000000),14~16,"14,229","12,902","11,152","10,025","9,243","8,763",35.54028425,129.3287428
울산광역시 남구 (3114000000),17~19,"16,130","15,194","14,509","13,456","12,094","10,506",35.54028425,129.3287428
울산광역시 남구 (3114000000),20~24,"27,097","27,092","26,342","25,099","23,594","22,385",35.54028425,129.3287428
울산광역시 동구 (3117000000),00~07,"15,930","16,071","15,519","14,305","12,829","11,464",35.52482377,129.4208124
울산광역시 동구 (3117000000),08~13,"9,608","9,693","9,660","9,833","10,076","10,363",35.52482377,129.4208124
울산광역시 동구 (3117000000),14~16,"5,736","5,385","4,849","4,607","4,393","4,311",35.52482377,129.4208124
울산광역시 동구 (3117000000),17~19,"6,443","6,058","5,876","5,471","5,028","4,569",35.52482377,129.4208124
울산광역시 동구 (3117000000),20~24,"11,772","11,277","10,564","9,840","9,236","8,724",35.52482377,129.4208124
울산광역시 북구 (3120000000),00~07,"19,160","19,284","19,511","20,013","20,843","19,831",35.6088471,129.3837046
울산광역시 북구 (3120000000),08~13,"13,009","13,357","13,675","14,315","15,334","15,994",35.6088471,129.3837046
울산광역시 북구 (3120000000),14~16,"7,844","7,309","6,640","6,340","6,426","6,486",35.6088471,129.3837046
울산광역시 북구 (3120000000),17~19,"8,962","8,537","8,171","7,831","7,464","6,774",35.6088471,129.3837046
울산광역시 북구 (3120000000),20~24,"14,074","14,327","14,329","14,287","14,056","13,629",35.6088471,129.3837046
울산광역시 울주군 (3171000000),00~07,"17,612","16,722","16,163","15,677","14,804","13,590",35.51062777,129.1043703
울산광역시 울주군 (3171000000),08~13,"13,677","13,529","13,225","13,120","13,143","13,220",35.51062777,129.1043703
울산광역시 울주군 (3171000000),14~16,"8,618","8,001","7,339","6,944","6,713","6,477",35.51062777,129.1043703
울산광역시 울주군 (3171000000),17~19,"8,948","8,876","8,759","8,592","8,018","7,288",35.51062777,129.1043703
울산광역시 울주군 (3171000000),20~24,"14,597","14,589","14,581","14,337","14,005","13,694",35.51062777,129.1043703
울산광역시 중구 (3111000000),00~07,"17,499","17,586","17,154","15,875","14,011","12,602",35.56300609,129.3334956
울산광역시 중구 (3111000000),08~13,"12,632","12,403","12,212","12,170","12,206","12,227",35.56300609,129.3334956
울산광역시 중구 (3111000000),14~16,"8,753","8,007","7,123","6,459","5,982","5,611",35.56300609,129.3334956
울산광역시 중구 (3111000000),17~19,"10,462","9,688","9,159","8,337","7,473","6,627",35.56300609,129.3334956
울산광역시 중구 (3111000000),20~24,"18,138","17,939","17,195","16,006","14,504","13,316",35.56300609,129.3334956
