행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,경도,위도
인천광역시 강화군 (2871000000),0~7,"1,006",976,998,895,800,750,126.4284085,37.71962974
인천광역시 강화군 (2871000000),08~13,733,717,692,664,651,627,126.4284085,37.71962974
인천광역시 강화군 (2871000000),14~16,410,416,375,353,309,304,126.4284085,37.71962974
인천광역시 강화군 (2871000000),17~19,455,485,498,451,432,411,126.4284085,37.71962974
인천광역시 강화군 (2871000000),20~24,"1,593","1,554","1,504","1,442","1,401","1,366",126.4284085,37.71962974
인천광역시 계양구 (2824500000),0~7,"2,794","2,801","2,697","2,527","2,483","2,456",126.7405933,37.54749414
인천광역시 계양구 (2824500000),08~13,"2,726","2,689","2,681","2,668","2,635","2,645",126.7405933,37.54749414
인천광역시 계양구 (2824500000),14~16,"1,695","1,595","1,483","1,403","1,393","1,330",126.7405933,37.54749414
인천광역시 계양구 (2824500000),17~19,"1,903","1,856","1,805","1,695","1,589","1,490",126.7405933,37.54749414
인천광역시 계양구 (2824500000),20~24,"3,275","3,222","3,196","3,035","2,854","2,780",126.7405933,37.54749414
인천광역시 남동구 (2820000000),0~7,"44,533","43,840","42,463","43,073","41,209","39,086",126.7264348,37.44960215
인천광역시 남동구 (2820000000),08~13,"32,776","32,940","32,608","33,815","34,672","34,956",126.7264348,37.44960215
인천광역시 남동구 (2820000000),14~16,"19,412","18,354","17,220","16,726","16,516","16,369",126.7264348,37.44960215
인천광역시 남동구 (2820000000),17~19,"20,566","20,070","19,878","19,790","18,689","17,753",126.7264348,37.44960215
인천광역시 남동구 (2820000000),20~24,"35,847","35,858","35,776","36,168","35,101","34,448",126.7264348,37.44960215
인천광역시 동구 (2814000000),0~7,"22,705","21,374","19,745","17,455","15,604","14,277",126.6445185,37.48084922
인천광역시 동구 (2814000000),08~13,"17,670","17,191","16,249","15,466","15,111","14,756",126.6445185,37.48084922
인천광역시 동구 (2814000000),14~16,"12,304","10,946","9,748","8,823","8,061","7,637",126.6445185,37.48084922
인천광역시 동구 (2814000000),17~19,"14,484","13,693","12,781","11,788","10,373","9,572",126.6445185,37.48084922
인천광역시 동구 (2814000000),20~24,"28,107","27,090","25,817","23,776","22,036","21,024",126.6445185,37.48084922
인천광역시 미추홀구 (2817700000),0~7,"37,869","36,536","34,507","31,416","28,386","25,873",126.6722535,37.45773845
인천광역시 미추홀구 (2817700000),08~13,"28,417","27,481","26,378","25,439","24,941","24,564",126.6722535,37.45773845
인천광역시 미추홀구 (2817700000),14~16,"18,682","17,094","15,419","14,055","13,162","12,425",126.6722535,37.45773845
인천광역시 미추홀구 (2817000000),17~19,"21,789","20,456","19,414","18,055","16,330","15,123",126.6722535,37.45773845
인천광역시 미추홀구 (2817000000),20~24,"42,219","41,000","38,986","36,340","34,015","32,462",126.6722535,37.45773845
인천광역시 부평구 (2823700000),0~7,"42,639","41,267","40,294","35,022","35,022","32,603",126.7275024,37.50033937
인천광역시 부평구 (2823700000),08~13,"30,230","30,128","30,090","30,637","30,637","30,549",126.7275024,37.50033937
